DEPCOM;COM;PMUN;PCAP;PTOT
27611;Saint-Vigor;330;4;334
27612;Saint-Vincent-des-Bois;334;6;340
27613;Saint-Vincent-du-Boulay;381;5;386
27524;Sainte-Colombe-la-Commanderie;848;6;854
27525;Sainte-Colombe-près-Vernon;309;19;328
27540;Sainte-Geneviève-lès-Gasny;663;15;678
27578;Sainte-Marie-d'Attez;599;14;613
27567;Sainte-Marie-de-Vatimesnil;269;6;275
27568;Sainte-Marthe;508;8;516
27576;Sainte-Opportune-du-Bosc;648;15;663
27577;Sainte-Opportune-la-Mare;440;11;451
27614;Sancourt;155;4;159
27615;Sassey;192;3;195
27617;Saussay-la-Campagne;531;8;539
27616;La Saussaye;1872;55;1927
27618;Sébécourt;477;10;487
27620;Selles;469;2;471
27621;Serez;154;5;159
27622;Serquigny;1987;47;2034
27623;Surtauville;486;9;495
27624;Surville;904;24;928
27625;Suzay;351;2;353
27693;Sylvains-Lès-Moulins;1295;33;1328
27412;Terres de Bord;1484;35;1519
27627;Le Theil-Nolent;250;12;262
27089;Thénouville;1017;17;1034
27629;Thiberville;1800;15;1815
27630;Thibouville;312;55;367
27631;Thierville;371;4;375
27632;Le Thil;539;8;547
27633;Les Thilliers-en-Vexin;494;6;500
27635;Le Thuit;141;5;146
27638;Le Thuit de l'Oison;3619;51;3670
27640;Tilleul-Dame-Agnès;195;4;199
27641;Le Tilleul-Lambert;251;5;256
27643;Tillières-sur-Avre;1081;22;1103
27644;Tilly;547;42;589
27645;Tocqueville;155;2;157
27646;Le Torpt;443;4;447
27649;Touffreville;351;7;358
27650;Tournedos-Bois-Hubert;476;4;480
27652;Tourneville;319;8;327
27654;Tourville-la-Campagne;1081;11;1092
27655;Tourville-sur-Pont-Audemer;721;169;890
27656;Toutainville;1344;26;1370
27516;Treis-Sants-en-Ouche;1420;33;1453
27658;Le Tremblay-Omonville;342;6;348
27659;La Trinité;116;3;119
27660;La Trinité-de-Réville;239;2;241
27661;La Trinité-de-Thouberville;432;11;443
27662;Triqueville;332;10;342
27676;Les Trois Lacs;1784;34;1818
27663;Le Troncq;173;4;177
27664;Le Tronquay;511;8;519
27665;Trouville-la-Haule;767;13;780
27666;La Vacherie;568;19;587
27022;Le Val d'Hazey;5556;72;5628
27294;Val d'Orger;982;12;994
27668;Le Val-David;723;18;741
27701;Val-de-Reuil;13063;264;13327
27447;Le Val-Doré;921;50;971
27667;Valailles;384;10;394
27669;Valletot;424;5;429
27670;Vandrimare;959;18;977
27671;Vannecrocq;153;6;159
27672;Vascœuil;355;1;356
27673;Vatteville;182;2;184
27528;Le Vaudreuil;3722;84;3806
27674;Vaux-sur-Eure;270;7;277
27677;Venon;395;8;403
27678;Les Ventes;1041;24;1065
27679;Verneuil d'Avre et d'Iton;8170;403;8573
27680;Verneusses;201;4;205
27681;Vernon;23872;658;24530
27682;Vesly;694;23;717
27213;Vexin-sur-Epte;6065;137;6202
27683;Vézillon;251;3;254
27684;Le Vieil-Évreux;812;14;826
27685;La Vieille-Lyre;651;10;661
27686;Vieux-Port;46;0;46
27689;Villegats;350;16;366
27690;Villers-en-Vexin;318;1;319
27691;Villers-sur-le-Roule;853;18;871
27692;Villettes;170;6;176
27694;Villez-sous-Bailleul;312;14;326
27695;Villez-sur-le-Neubourg;284;6;290
27696;Villiers-en-Désœuvre;937;18;955
27697;Vironvay;332;5;337
27698;Vitot;559;14;573
27699;Voiscreville;124;4;128
27700;Vraiville;691;5;696
28001;Abondant;2372;54;2426
28003;Allainville;136;7;143
28004;Allonnes;313;3;316
28005;Alluyes;760;89;849
28006;Amilly;1842;47;1889
28007;Anet;2733;99;2832
28236;Arcisses;2204;59;2263
28008;Ardelles;200;3;203
28009;Ardelu;73;1;74
28010;Argenvilliers;332;10;342
28013;Aunay-sous-Auneau;1483;24;1507
28014;Aunay-sous-Crécy;637;7;644
28015;Auneau-Bleury-Saint-Symphorien;5916;84;6000
28016;Les Autels-Villevillon;156;2;158
28018;Authon-du-Perche;1511;17;1528
28019;Baigneaux;225;5;230
28023;Bailleau-Armenonville;1386;27;1413
28022;Bailleau-l'Évêque;1162;32;1194
28021;Bailleau-le-Pin;1563;30;1593
28024;Barjouville;1712;59;1771
28025;Barmainville;117;2;119
28026;Baudreville;259;0;259
28027;La Bazoche-Gouet;1224;20;1244
28028;Bazoches-en-Dunois;258;5;263
28029;Bazoches-les-Hautes;309;7;316
28030;Beauche;274;9;283
28031;Beaumont-les-Autels;394;111;505
28032;Beauvilliers;335;4;339
28033;Belhomert-Guéhouville;800;32;832
28035;Berchères-les-Pierres;1000;23;1023
28034;Berchères-Saint-Germain;845;11;856
28036;Berchères-sur-Vesgre;849;20;869
28037;Bérou-la-Mulotière;337;5;342
28038;Béthonvilliers;118;5;123
28039;Béville-le-Comte;1657;31;1688
28040;Billancelles;324;8;332
28041;Blandainville;273;3;276
28045;Boissy-en-Drouais;210;6;216
28046;Boissy-lès-Perche;498;12;510
28047;Boisville-la-Saint-Père;712;15;727
28049;Boncé;245;5;250
28050;Boncourt;266;5;271
28051;Bonneval;5055;103;5158
28052;Bouglainval;767;14;781
28053;Le Boullay-les-Deux-Églises;261;4;265
28054;Le Boullay-Mivoye;486;10;496
28055;Le Boullay-Thierry;553;5;558
28048;La Bourdinière-Saint-Loup;725;15;740
28056;Boutigny-Prouais;1745;39;1784
28057;Bouville;588;8;596
28058;Bréchamps;344;5;349
28059;Brezolles;1816;25;1841
28060;Briconville;249;5;254
28061;Brou;3403;37;3440
28062;Broué;888;15;903
28064;Bû;1963;51;2014
28065;Bullainville;108;5;113
28067;Cernay;89;2;91
28068;Challet;433;10;443
28070;Champhol;3656;106;3762
28071;Champrond-en-Gâtine;661;2;663
28072;Champrond-en-Perchet;405;0;405
28073;Champseru;333;1;334
28074;La Chapelle-d'Aunainville;274;13;287
28075;La Chapelle-du-Noyer;1032;181;1213
28076;La Chapelle-Forainvilliers;201;3;204
28077;La Chapelle-Fortin;189;5;194
28078;Chapelle-Guillaume;185;5;190
28079;Chapelle-Royale;307;5;312
28080;Charbonnières;253;3;256
28081;Charonville;315;5;320
28082;Charpont;608;13;621
28084;Chartainvilliers;727;9;736
28085;Chartres;38578;1185;39763
28086;Chassant;329;8;337
28087;Châtaincourt;239;4;243
28088;Châteaudun;13195;324;13519
28089;Châteauneuf-en-Thymerais;2619;30;2649
28090;Les Châtelets;99;4;103
28091;Les Châtelliers-Notre-Dame;137;3;140
28092;Châtenay;238;6;244
28094;Chaudon;1685;25;1710
28095;Chauffours;276;6;282
28096;La Chaussée-d'Ivry;1156;17;1173
28098;Cherisy;1866;27;1893
28099;Chuisnes;1127;19;1146
28100;Cintray;422;6;428
28102;Clévilliers;707;9;716
28103;Cloyes-les-Trois-Rivières;5662;126;5788
28104;Coltainville;884;28;912
28105;Combres;562;6;568
28012;Commune nouvelle d'Arrou;3803;66;3869
28106;Conie-Molitard;406;11;417
28107;Corancez;378;9;387
28108;Cormainville;237;8;245
28109;Les Corvées-les-Yys;316;2;318
28110;Le Coudray;4161;120;4281
28111;Coudray-au-Perche;341;9;350
28113;Coulombs;1353;18;1371
28114;Courbehaye;137;0;137
28116;Courville-sur-Eure;2867;44;2911
28117;Crécy-Couvé;264;9;273
28118;Croisilles;437;14;451
28119;La Croix-du-Perche;163;4;167
28120;Crucey-Villages;468;10;478
28121;Dambron;102;0;102
28122;Dammarie;1512;23;1535
28123;Dampierre-sous-Brou;461;8;469
28124;Dampierre-sur-Avre;742;18;760
28126;Dancy;203;0;203
28127;Dangeau;1274;20;1294
28128;Dangers;432;7;439
28129;Denonville;759;19;778
28130;Digny;979;11;990
28132;Donnemain-Saint-Mamès;684;17;701
28134;Dreux;31044;561;31605
28135;Droue-sur-Drouette;1241;58;1299
28136;Écluzelles;166;5;171
28137;Écrosnes;855;18;873
28406;Éole-en-Beauce;1242;19;1261
28139;Épeautrolles;186;2;188
28140;Épernon;5551;66;5617
28141;Ermenonville-la-Grande;319;11;330
28142;Ermenonville-la-Petite;191;4;195
28143;Escorpain;248;3;251
28144;Les Étilleux;221;7;228
28146;Faverolles;865;11;876
28147;Favières;595;10;605
28148;Le Favril;363;11;374
28149;La Ferté-Vidame;700;19;719
28151;Fessanvilliers-Mattanvilliers;176;5;181
28153;Flacey;209;7;216
28154;Fontaine-la-Guyon;1664;32;1696
28155;Fontaine-les-Ribouts;208;3;211
28156;Fontaine-Simon;924;16;940
28157;Fontenay-sur-Conie;128;3;131
28158;Fontenay-sur-Eure;1016;26;1042
28159;La Framboisière;340;4;344
28160;Francourville;833;8;841
28161;Frazé;505;7;512
28164;Fresnay-l'Évêque;741;10;751
28162;Fresnay-le-Comte;326;9;335
28163;Fresnay-le-Gilmert;202;3;205
28166;Friaize;244;2;246
28167;Fruncé;405;6;411
28168;Gallardon;3669;58;3727
28169;Garancières-en-Beauce;219;7;226
28170;Garancières-en-Drouais;274;6;280
28171;Garnay;876;13;889
28172;Gas;792;16;808
28173;Gasville-Oisème;1448;34;1482
28175;La Gaudaine;175;4;179
28176;Le Gault-Saint-Denis;674;12;686
28177;Gellainville;670;12;682
28178;Germainville;290;6;296
28180;Gilles;522;20;542
28182;Gohory;323;2;325
28183;Gommerville;685;3;688
28184;Gouillons;338;4;342
28185;Goussainville;1292;18;1310
28187;Guainville;655;12;667
28188;Le Gué-de-Longroi;945;16;961
28189;Guilleville;178;4;182
28190;Guillonville;446;12;458
28191;Hanches;2701;57;2758
28192;Happonvilliers;307;4;311
28193;Havelu;142;3;145
28194;Houville-la-Branche;424;16;440
28195;Houx;758;22;780
28196;Illiers-Combray;3324;61;3385
28197;Intréville;145;3;148
28198;Jallans;809;31;840
28199;Janville-en-Beauce;2567;50;2617
28200;Jaudrais;406;5;411
28201;Jouy;1939;41;1980
28202;Lamblore;333;5;338
28203;Landelles;640;6;646
28206;Laons;687;13;700
28207;Léthuin;229;4;233
28208;Levainville;389;14;403
28209;Lèves;5801;133;5934
28210;Levesville-la-Chenard;218;2;220
28211;Logron;585;8;593
28212;Loigny-la-Bataille;206;8;214
28213;Lormaye;661;9;670
28214;La Loupe;3342;83;3425
28215;Louville-la-Chenard;252;5;257
28216;Louvilliers-en-Drouais;201;1;202
28217;Louvilliers-lès-Perche;184;2;186
28218;Lucé;15404;265;15669
28219;Luigny;342;8;350
28220;Luisant;6665;310;6975
28221;Lumeau;149;8;157
28222;Luplanté;386;8;394
28223;Luray;1552;23;1575
28225;Magny;653;12;665
28226;Maillebois;922;16;938
28227;Maintenon;4292;79;4371
28229;Mainvilliers;11182;280;11462
28230;Maisons;374;6;380
28231;La Mancelière;187;3;190
28232;Manou;597;29;626
28233;Marboué;1147;28;1175
28234;Marchéville;479;12;491
28235;Marchezais;342;3;345
28237;Marolles-les-Buis;212;4;216
28239;Marville-Moutiers-Brûlé;976;20;996
28240;Meaucé;543;8;551
28242;Méréglise;100;3;103
28243;Mérouville;218;4;222
28245;Meslay-le-Grenet;345;6;351
28246;Meslay-le-Vidame;522;9;531
28247;Le Mesnil-Simon;580;15;595
28248;Le Mesnil-Thomas;335;9;344
28249;Mévoisins;624;18;642
28251;Mézières-en-Drouais;1073;26;1099
28252;Miermaigne;195;4;199
28253;Mignières;1057;84;1141
28254;Mittainvilliers-Vérigny;794;13;807
28255;Moinville-la-Jeulin;170;0;170
28256;Moléans;461;14;475
28257;Mondonville-Saint-Jean;87;2;89
28259;Montboissier;322;5;327
28260;Montharville;98;5;103
28261;Montigny-le-Chartif;615;12;627
28263;Montigny-sur-Avre;258;6;264
28264;Montireau;140;5;145
28265;Montlandon;241;8;249
28267;Montreuil;508;5;513
28268;Morainville;22;2;24
28269;Morancez;1836;37;1873
28270;Moriers;224;4;228
28271;Morvilliers;152;4;156
28272;Mottereau;166;3;169
28273;Moulhard;142;2;144
28274;Moutiers;249;6;255
28275;Néron;656;15;671
28276;Neuvy-en-Beauce;212;8;220
28277;Neuvy-en-Dunois;310;13;323
28278;Nogent-le-Phaye;1472;34;1506
28279;Nogent-le-Roi;4084;67;4151
28280;Nogent-le-Rotrou;9715;441;10156
28281;Nogent-sur-Eure;497;9;506
28282;Nonvilliers-Grandhoux;427;11;438
28283;Nottonville;304;6;310
28284;Oinville-Saint-Liphard;276;9;285
28285;Oinville-sous-Auneau;345;9;354
28286;Ollé;612;15;627
28287;Orgères-en-Beauce;1061;15;1076
28289;Ormoy;235;5;240
28290;Orrouer;301;10;311
28291;Ouarville;524;16;540
28292;Ouerre;733;15;748
28293;Oulins;1205;27;1232
28294;Oysonville;525;4;529
28296;Péronville;268;4;272
28298;Pierres;2783;56;2839
28299;Les Pinthières;178;6;184
28300;Poinville;142;3;145
28301;Poisvilliers;443;6;449
28302;Pontgouin;1096;334;1430
28303;Poupry;112;1;113
28304;Prasville;431;6;437
28305;Pré-Saint-Évroult;298;5;303
28306;Pré-Saint-Martin;199;6;205
28308;Prudemanche;256;7;263
28309;Prunay-le-Gillon;1075;17;1092
28310;La Puisaye;278;6;284
28312;Puiseux;136;2;138
28313;Réclainville;190;1;191
28314;Les Ressuintes;122;8;130
28315;Revercourt;23;1;24
28316;Rohaire;127;3;130
28317;Roinville;561;3;564
28319;Rouvray-Saint-Denis;434;6;440
28321;Rouvres;823;14;837
28322;Rueil-la-Gadelière;507;10;517
28323;Saint-Ange-et-Torçay;287;1;288
28324;Saint-Arnoult-des-Bois;888;23;911
28325;Saint-Aubin-des-Bois;1016;25;1041
28326;Saint-Avit-les-Guespières;362;4;366
28327;Saint-Bomer;196;2;198
28329;Saint-Christophe;159;2;161
28333;Saint-Denis-des-Puits;139;2;141
28334;Saint-Denis-Lanneray;2243;55;2298
28335;Saint-Éliph;875;24;899
28336;Saint-Éman;108;1;109
28337;Saint-Georges-sur-Eure;2803;67;2870
28339;Saint-Germain-le-Gaillard;345;11;356
28341;Saint-Jean-de-Rebervilliers;241;5;246
28342;Saint-Jean-Pierre-Fixte;259;9;268
28343;Saint-Laurent-la-Gâtine;441;12;453
28344;Saint-Léger-des-Aubées;266;10;276
28346;Saint-Lubin-de-Cravant;58;3;61
28347;Saint-Lubin-de-la-Haye;956;30;986
28348;Saint-Lubin-des-Joncherets;3995;55;4050
28349;Saint-Lucien;254;2;256
28350;Saint-Luperce;896;20;916
28351;Saint-Maixme-Hauterive;418;8;426
28352;Saint-Martin-de-Nigelles;1560;42;1602
28353;Saint-Maur-sur-le-Loir;413;5;418
28354;Saint-Maurice-Saint-Germain;415;73;488
28355;Saint-Ouen-Marchefroy;295;8;303
28357;Saint-Piat;1050;30;1080
28358;Saint-Prest;2031;73;2104
28359;Saint-Rémy-sur-Avre;4010;42;4052
28360;Saint-Sauveur-Marville;925;17;942
28362;Saint-Victor-de-Buthon;511;13;524
28332;Sainte-Gemme-Moronval;1093;22;1115
28331;Saintigny;1020;20;1040
28363;Sainville;1012;13;1025
28364;Sancheville;806;13;819
28365;Sandarville;408;9;417
28366;Santeuil;320;1;321
28367;Santilly;339;6;345
28368;La Saucelle;194;3;197
28369;Saulnières;709;9;718
28370;Saumeray;491;11;502
28371;Saussay;1092;19;1111
28372;Senantes;582;12;594
28373;Senonches;3087;45;3132
28374;Serazereux;546;2;548
28375;Serville;366;5;371
28377;Sorel-Moussel;1804;35;1839
28378;Souancé-au-Perche;532;11;543
28379;Soulaires;454;10;464
28380;Sours;1951;170;2121
28382;Terminiers;903;15;918
28383;Theuville;708;6;714
28385;Le Thieulin;452;34;486
28386;Thimert-Gâtelles;1256;22;1278
28387;Thiron-Gardais;995;11;1006
28388;Thivars;1059;33;1092
28389;Thiville;342;4;346
28390;Tillay-le-Péneux;324;6;330
28391;Toury;2573;33;2606
28392;Trancrainville;161;3;164
28393;Tremblay-les-Villages;2271;65;2336
28394;Tréon;1403;27;1430
28395;Trizay-Coutretot-Saint-Serge;444;14;458
28396;Trizay-lès-Bonneval;316;4;320
28397;Umpeau;396;12;408
28398;Unverre;1193;24;1217
28400;Varize;196;8;204
28401;Vaupillon;456;7;463
28403;Ver-lès-Chartres;783;27;810
28404;Vernouillet;12506;148;12654
28405;Vert-en-Drouais;1091;21;1112
28407;Vichères;304;8;312
28408;Vierville;132;1;133
28409;Vieuvicq;476;9;485
28422;Les Villages Vovéens;3945;61;4006
28410;Villampuy;306;4;310
28411;Villars;175;1;176
28414;Villebon;76;0;76
28330;Villemaury;1392;34;1426
28415;Villemeux-sur-Eure;1641;27;1668
28417;Villiers-le-Morhier;1339;28;1367
28418;Villiers-Saint-Orien;163;5;168
28419;Vitray-en-Beauce;357;6;363
28421;Voise;282;5;287
28423;Yermenonville;597;7;604
28424;Yèvres;1647;34;1681
28425;Ymeray;612;12;624
28426;Ymonville;498;9;507
29001;Argol;991;17;1008
29002;Arzano;1387;33;1420
29003;Audierne;3692;65;3757
29004;Bannalec;5659;158;5817
29005;Baye;1149;34;1183
29006;Bénodet;3568;65;3633
29007;Berrien;919;31;950
29008;Beuzec-Cap-Sizun;1001;20;1021
29010;Bodilis;1609;35;1644
29011;Bohars;3458;83;3541
29012;Bolazec;205;1;206
29013;Botmeur;215;6;221
29014;Botsorhel;428;6;434
29015;Bourg-Blanc;3568;53;3621
29016;Brasparts;1024;11;1035
29017;Brélès;875;27;902
29018;Brennilis;444;5;449
29019;Brest;140064;2684;142748
29020;Briec;5630;112;5742
29022;Camaret-sur-Mer;2543;57;2600
29023;Carantec;3161;100;3261
29024;Carhaix-Plouguer;7174;615;7789
29025;Cast;1556;45;1601
29026;Châteaulin;5214;456;5670
29027;Châteauneuf-du-Faou;3673;102;3775
29028;Cléden-Cap-Sizun;944;20;964
29029;Cléden-Poher;1158;21;1179
29030;Cléder;3779;105;3884
29031;Clohars-Carnoët;4333;111;4444
29032;Clohars-Fouesnant;2055;51;2106
29033;Le Cloître-Pleyben;531;11;542
29034;Le Cloître-Saint-Thégonnec;660;6;666
29035;Coat-Méal;1100;19;1119
29036;Collorec;611;7;618
29037;Combrit;4092;133;4225
29038;Commana;1036;27;1063
29039;Concarneau;19050;825;19875
29145;Confort-Meilars;879;28;907
29040;Le Conquet;2713;59;2772
29041;Coray;1896;30;1926
29042;Crozon;7477;220;7697
29043;Daoulas;1786;52;1838
29044;Dinéault;2168;38;2206
29045;Dirinon;2261;73;2334
29046;Douarnenez;13902;363;14265
29047;Le Drennec;1837;34;1871
29048;Edern;2224;42;2266
29049;Elliant;3271;141;3412
29051;Ergué-Gabéric;8208;211;8419
29053;Le Faou;1727;41;1768
29054;La Feuillée;641;14;655
29055;Le Folgoët;3187;77;3264
29056;La Forest-Landerneau;1881;29;1910
29057;La Forêt-Fouesnant;3366;119;3485
29058;Fouesnant;9458;429;9887
29059;Garlan;1052;33;1085
29060;Gouesnach;2769;80;2849
29061;Gouesnou;6116;130;6246
29062;Gouézec;1100;34;1134
29063;Goulien;433;7;440
29064;Goulven;446;4;450
29065;Gourlizon;896;16;912
29066;Guengat;1782;29;1811
29067;Guerlesquin;1329;41;1370
29068;Guiclan;2490;52;2542
29070;Guiler-sur-Goyen;529;10;539
29069;Guilers;7981;155;8136
29071;Guilligomarc'h;778;3;781
29072;Guilvinec;2658;68;2726
29073;Guimaëc;947;34;981
29074;Guimiliau;1009;17;1026
29075;Guipavas;14482;375;14857
29077;Guissény;2009;42;2051
29078;Hanvec;2025;46;2071
29079;Henvic;1351;30;1381
29080;Hôpital-Camfrout;2247;38;2285
29081;Huelgoat;1449;28;1477
29082;Île-de-Batz;457;18;475
29083;Île-de-Sein;249;2;251
29084;Île-Molène;141;5;146
29085;Île-Tudy;741;17;758
29086;Irvillac;1429;22;1451
29087;Le Juch;713;17;730
29089;Kergloff;880;23;903
29090;Kerlaz;799;27;826
29091;Kerlouan;2119;39;2158
29093;Kernilis;1453;31;1484
29094;Kernouës;685;14;699
29095;Kersaint-Plabennec;1447;26;1473
29097;Lampaul-Guimiliau;2058;51;2109
29098;Lampaul-Plouarzel;2111;50;2161
29099;Lampaul-Ploudalmézeau;838;22;860
29100;Lanarvily;421;12;433
29101;Landéda;3578;109;3687
29102;Landeleau;937;12;949
29103;Landerneau;15781;617;16398
29104;Landévennec;337;6;343
29105;Landivisiau;9132;322;9454
29106;Landrévarzec;1841;39;1880
29107;Landudal;877;13;890
29108;Landudec;1436;39;1475
29109;Landunvez;1475;36;1511
29110;Langolen;876;18;894
29111;Lanhouarneau;1308;24;1332
29112;Lanildut;956;17;973
29113;Lanmeur;2251;39;2290
29114;Lannéanou;378;8;386
29115;Lannédern;293;5;298
29116;Lanneuffret;151;2;153
29117;Lannilis;5592;114;5706
29119;Lanrivoaré;1464;35;1499
29120;Lanvéoc;2095;66;2161
29122;Laz;661;15;676
29123;Lennon;788;20;808
29124;Lesneven;7311;228;7539
29125;Leuhan;819;14;833
29126;Loc-Brévalaire;202;6;208
29128;Loc-Eguiner;402;7;409
29130;Locmaria-Plouzané;5076;129;5205
29131;Locmélar;471;14;485
29132;Locquénolé;787;26;813
29133;Locquirec;1456;42;1498
29134;Locronan;795;27;822
29135;Loctudy;4073;110;4183
29136;Locunolé;1154;23;1177
29137;Logonna-Daoulas;2124;52;2176
29139;Lopérec;859;154;1013
29140;Loperhet;3760;82;3842
29141;Loqueffret;359;10;369
29142;Lothey;459;4;463
29143;Mahalon;957;20;977
29144;La Martyre;751;9;760
29146;Melgven;3356;51;3407
29147;Mellac;3112;76;3188
29148;Mespaul;966;17;983
29076;Milizac-Guipronvel;4478;64;4542
29150;Moëlan-sur-Mer;6781;140;6921
29151;Morlaix;14559;469;15028
29152;Motreff;703;14;717
29153;Névez;2661;59;2720
29155;Ouessant;835;19;854
29156;Pencran;1970;31;2001
29158;Penmarch;5247;114;5361
29159;Peumerit;803;12;815
29160;Plabennec;8436;160;8596
29161;Pleuven;2987;79;3066
29162;Pleyben;3627;263;3890
29163;Pleyber-Christ;3139;77;3216
29165;Plobannalec-Lesconil;3474;87;3561
29166;Ploéven;518;17;535
29167;Plogastel-Saint-Germain;1953;43;1996
29168;Plogoff;1229;20;1249
29169;Plogonnec;3156;74;3230
29170;Plomelin;4171;167;4338
29171;Plomeur;3774;81;3855
29172;Plomodiern;2136;63;2199
29173;Plonéis;2425;49;2474
29174;Plonéour-Lanvern;6064;156;6220
29175;Plonévez-du-Faou;2105;50;2155
29176;Plonévez-Porzay;1758;44;1802
29177;Plouarzel;3715;70;3785
29178;Ploudalmézeau;6297;129;6426
29179;Ploudaniel;3709;112;3821
29180;Ploudiry;952;22;974
29181;Plouédern;2813;67;2880
29182;Plouégat-Guérand;1067;23;1090
29183;Plouégat-Moysan;716;9;725
29184;Plouénan;2510;59;2569
29185;Plouescat;3446;82;3528
29186;Plouezoc'h;1596;62;1658
29187;Plougar;785;31;816
29188;Plougasnou;2776;122;2898
29189;Plougastel-Daoulas;13337;361;13698
29190;Plougonvelin;4174;99;4273
29191;Plougonven;3496;61;3557
29192;Plougoulm;1759;45;1804
29193;Plougourvest;1404;28;1432
29195;Plouguerneau;6607;128;6735
29196;Plouguin;2151;41;2192
29197;Plouhinec;3975;118;4093
29198;Plouider;1866;34;1900
29199;Plouigneau;5083;182;5265
29201;Ploumoguer;2063;37;2100
29021;Plounéour-Brignogan-plages;1922;49;1971
29202;Plounéour-Ménez;1246;39;1285
29204;Plounéventer;2088;33;2121
29206;Plounévez-Lochrist;2291;93;2384
29205;Plounévézel;1227;26;1253
29208;Plourin;1241;28;1269
29207;Plourin-lès-Morlaix;4457;287;4744
29209;Plouvien;3766;99;3865
29210;Plouvorn;2870;73;2943
29211;Plouyé;674;18;692
29212;Plouzané;12822;269;13091
29213;Plouzévédé;1766;40;1806
29214;Plovan;682;27;709
29215;Plozévet;2967;77;3044
29216;Pluguffan;4109;99;4208
29217;Pont-Aven;2801;58;2859
29218;Pont-Croix;1580;30;1610
29302;Pont-de-Buis-lès-Quimerch;3792;150;3942
29220;Pont-l'Abbé;8250;399;8649
29221;Porspoder;1810;38;1848
29222;Port-Launay;391;7;398
29224;Pouldergat;1211;25;1236
29225;Pouldreuzic;2156;46;2202
29226;Poullan-sur-Mer;1516;94;1610
29227;Poullaouen;1500;32;1532
29228;Primelin;702;17;719
29229;Quéménéven;1117;34;1151
29230;Querrien;1739;33;1772
29232;Quimper;62985;2495;65480
29233;Quimperlé;12057;453;12510
29234;Rédené;2908;64;2972
29235;Le Relecq-Kerhuon;11462;243;11705
29236;Riec-sur-Bélon;4185;122;4307
29237;La Roche-Maurice;1807;43;1850
29238;Roscanvel;839;29;868
29239;Roscoff;3404;84;3488
29240;Rosnoën;955;26;981
29241;Rosporden;7671;120;7791
29243;Saint-Coulitz;437;10;447
29244;Saint-Derrien;811;13;824
29245;Saint-Divy;1537;21;1558
29246;Saint-Eloy;214;5;219
29247;Saint-Évarzec;3529;114;3643
29248;Saint-Frégant;823;8;831
29249;Saint-Goazec;706;9;715
29250;Saint-Hernin;759;17;776
29251;Saint-Jean-du-Doigt;641;12;653
29252;Saint-Jean-Trolimon;962;27;989
29254;Saint-Martin-des-Champs;4593;145;4738
29255;Saint-Méen;917;19;936
29256;Saint-Nic;773;21;794
29257;Saint-Pabu;2074;34;2108
29259;Saint-Pol-de-Léon;6596;234;6830
29260;Saint-Renan;8110;189;8299
29261;Saint-Rivoal;194;3;197
29262;Saint-Sauveur;790;10;800
29263;Saint-Ségal;1081;24;1105
29264;Saint-Servais;782;12;794
29266;Saint-Thégonnec Loc-Eguiner;3010;76;3086
29267;Saint-Thois;716;18;734
29268;Saint-Thonan;1821;35;1856
29269;Saint-Thurien;1032;14;1046
29270;Saint-Urbain;1633;35;1668
29271;Saint-Vougay;904;18;922
29272;Saint-Yvi;3155;68;3223
29265;Sainte-Sève;1016;30;1046
29273;Santec;2409;62;2471
29274;Scaër;5380;122;5502
29275;Scrignac;757;20;777
29276;Sibiril;1208;27;1235
29277;Sizun;2265;78;2343
29278;Spézet;1808;44;1852
29279;Taulé;2938;77;3015
29280;Telgruc-sur-Mer;2085;59;2144
29281;Tourch;1026;28;1054
29282;Trébabu;352;9;361
29284;Treffiagat;2399;100;2499
29285;Tréflaouénan;510;7;517
29286;Tréflévénez;243;9;252
29287;Tréflez;958;22;980
29288;Trégarantec;601;8;609
29289;Trégarvan;119;6;125
29290;Tréglonou;670;6;676
29291;Trégourez;972;17;989
29292;Tréguennec;318;7;325
29293;Trégunc;7041;225;7266
29294;Le Tréhou;633;14;647
29295;Trémaouézan;575;9;584
29296;Tréméoc;1346;39;1385
29297;Tréméven;2324;43;2367
29298;Tréogat;581;12;593
29299;Tréouergat;341;5;346
29300;Le Trévoux;1606;51;1657
29301;Trézilidé;382;2;384
30001;Aigaliers;507;13;520
30002;Aigremont;791;13;804
30003;Aigues-Mortes;8325;76;8401
30004;Aigues-Vives;3337;48;3385
30005;Aiguèze;214;3;217
30006;Aimargues;5647;53;5700
30007;Alès;40219;651;40870
30008;Allègre-les-Fumades;902;16;918
30009;Alzon;177;3;180
30010;Anduze;3436;41;3477
30011;Les Angles;8349;202;8551
30012;Aramon;4238;73;4311
30013;Argilliers;483;22;505
30014;Arpaillargues-et-Aureillac;1009;28;1037
30015;Arphy;171;4;175
30016;Arre;287;10;297
30017;Arrigas;211;2;213
30018;Aspères;512;13;525
30019;Aubais;2762;58;2820
30020;Aubord;2375;44;2419
30021;Aubussargues;323;4;327
30022;Aujac;178;7;185
30023;Aujargues;846;17;863
30024;Aulas;477;7;484
30025;Aumessas;228;3;231
30026;Avèze;1080;32;1112
30027;Bagard;2574;65;2639
30028;Bagnols-sur-Cèze;18258;342;18600
30029;Barjac;1596;24;1620
30030;Baron;356;4;360
30031;La Bastide-d'Engras;196;2;198
30032;Beaucaire;15963;144;16107
30033;Beauvoisin;4780;54;4834
30034;Bellegarde;7129;81;7210
30035;Belvézet;245;1;246
30036;Bernis;3420;27;3447
