Nom structure;Adresse;Code postal;Département;Ville;Année(s) subvention Région;Montant subvention 2000;Montant subvention 2001;Montant subvention 2002;Montant subvention 2003;Montant subvention 2004;Montant subvention 2005;Montant subvention 2006;Montant subvention 2007;Montant subvention 2008;Montant subvention 2009;Montant subvention 2010;Montant subvention 2011;Montant subvention 2012;Montant subvention 2013;wgs84
MEDIATHÈQUE MUNICIPALE GUSTAVE FLAUBERT;Halle Nodet - 5 bis boulevard du Maréchal Leclerc;77130;77;MONTEREAU-FAULT-YONNE;Subvention Région 2008;;;;;;;;;280300;;;;;;48.3799629,2.955117
MÉDIATHÈQUE MUNICIPALE;Place du 14 Juillet 1789;77552;77;MOISSY-CRAMAYEL;;;;;;;;;;;;;;;;48.628158,2.58973
BIBLIOTHÈQUE MUNICIPALE;52 rue de Flagy;77940;77;THOURY-FERROTTES;;;;;;;;;;;;;;;;48.2918812,2.9434423
BIBLIOTHÈQUE JEAN ROSTAND;108 route de Longpont;91700;91;SAINTE-GENEVIÈVE-DES-BOIS;;;;;;;;;;;;;;;;48.6506693,2.3049828
BIBLIOTHÈQUE ANNEXE DE LA ROCHE;Pavillon du parc de la Butte aux Grès;91340;91;OLLAINVILLE;;;;;;;;;;;;;;;;48.6018341,2.2384985
BIBLIOTHÈQUE;269 rue du Général de Gaulle;77390;77;FOUJU;;;;;;;;;;;;;;;;48.5858239,2.777605
BIBLIOTHÈQUE MUNICIPALE;10 rue du Général d'Harville;77510;77;DOUE;;;;;;;;;;;;;;;;48.8669705,3.1635351
MÉDIATHÈQUE MUNICIPALE BORIS VIAN;25 avenue Franklin Roosevelt;94550;94;CHEVILLY-LARUE;Subvention Région 2005;;;;;;658240;;;;;;;;;48.771852,2.359649
MÉDIATHÈQUE MUNICIPALE JEAN MONNET;9 rue Félix Braquet - Centre Charlemagne;92270;92;BOIS-COLOMBES;;;;;;;;;;;;;;;;48.917402,2.269675
BIBLIOTHÈQUE DIDEROT;42 avenue Daumesnil;75012;75;PARIS;;;;;;;;;;;;;;;;48.8459507,2.3775478
MÉDIATHÈQUE MUNICIPALE;2 rue Aristide Briand;77450;77;MONTRY;;;;;;;;;;;;;;;;48.8870865,2.8275391
BIBLIOTHÈQUE MUNICIPALE;15 rue Frédéric Sarrazin;77550;77;RÉAU;;;;;;;;;;;;;;;;48.6098339,2.6235657
BIBLIOTHÈQUE MUNICIPALE;45 Grande Rue;77150;77;FÉROLLES-ATTILLY;;;;;;;;;;;;;;;;48.7323267,2.6288541
BIBLIOTHÈQUE SAINT-ÉLOI;23 rue du Colonel Rozanoff;75012;75;PARIS;;;;;;;;;;;;;;;;48.8456169,2.3871803
BIBLIOTHÈQUE MUNICIPALE;Place de la Mairie;95450;95;ABLEIGES;;;;;;;;;;;;;;;;49.089467,1.9813954
MÉDIATHÈQUE MUNICIPALE L'ILE AUX TRÉSORS;Place des Déportés;77170;77;BRIE-COMTE-ROBERT;;;;;;;;;;;;;;;;48.6900272,2.6088263
BIBLIOTHÈQUE DE L'HEURE JOYEUSE PARIS;6-12 rue des Prêtres Saint-Séverin;75005;75;PARIS;;;;;;;;;;;;;;;;48.8520308,2.3448588
BIBLIOTHÈQUE MOUFFETARD;74-76 rue Mouffetard;75005;75;PARIS;;;;;;;;;;;;;;;;48.8424466,2.3493921
MÉDIATHÈQUE JACQUES BREL;25 rue Joseph Lemarchand;78114;78;MAGNY-LES-HAMEAUX;;;;;;;;;;;;;;;;48.7228173,2.0943942
BIBLIOTHÈQUE LE ROSEAU;18 Grande Rue;78126;78;AULNAY-SUR-MAULDRE;;;;;;;;;;;;;;;;48.9289577,1.843657
MÉDIATHÈQUE MUNICIPALE JACQUES DUHAMEL;Esplanade du 7 Juillet 1899;94420;94;LE-PLESSIS-TREVISE;;;;;;;;;;;;;;;;48.808589,2.573903
MÉDIATHÈQUE GEORGES BRASSENS;65 avenue Marceau;93700;93;DRANCY;Subvention Région 2005;;;;;;1372041;;;;;;;;;48.9294957,2.4333369
MÉDIATHÈQUE MUNICIPALE LE CARRÉ D'ART;2 rue des Bois;91230;91;MONTGERON;Subvention Région 2005;;;;;;651576;;;;;;;;;48.7069881,2.4543385
BIBLIOTHÈQUE MUNICIPALE ANNEXE;Place Pierre Magnon;77120;77;COULOMMIERS;;;;;;;;;;;;;;;;48.8198366,3.0951783
MÉDIATHÈQUE LOUIS ARAGON;2 avenue Rabelais;94120;94;FONTENAY-SOUS-BOIS;;;;;;;;;;;;;;;;48.8508222,2.4760988
MÉDIATHÈQUE MUNICIPALE LA MÉRIDIENNE;800 avenue de l'Europe;77350;77;LE-MEE-SUR-SEINE;;;;;;;;;;;;;;;;48.5447135,2.6327444
BIBLIOTHÈQUE RENÉ CASSIN;8-10 avenue du Consul Général Nordling;93190;93;LIVRY-GARGAN;;;;;;;;;;;;;;;;48.918764,2.5364749
MÉDIATHÈQUE MARGUERITE YOURCENAR;41 rue d'Alleray;75015;75;PARIS;;;;;;;;;;;;;;;;48.8369761,2.3036451
MÉDIATHÈQUE ROBERT DESNOS;Esplanade de l'Europe;95100;95;ARGENTEUIL;;;;;;;;;;;;;;;;48.952671,2.2248257
BIBLIOTHÈQUE MUNICIPALE OCTAVE MIRBEAU;589 rue de la Reine Blanche;78955;78;CARRIERES-SOUS-POISSY;;;;;;;;;;;;;;;;48.9403729,2.0307894
BIBLIOTHÈQUE MUNICIPALE;67 Grande Rue;78240;78;AIGREMONT;;;;;;;;;;;;;;;;48.9017902,2.0187793
MÉDIATHÈQUE MUNICIPALE;98 rue de Fontenay;94300;94;VINCENNES;"Subvention Région 2000 ; Subvention Région 2001 ; Subvention Région 2002";137204;548816;686021;;;;;;;;;;;;48.8485654,2.4391001
BIBLIOTHÈQUE SAINT-LOUIS;50 rue Royale;78000;78;VERSAILLES;;;;;;;;;;;;;;;;48.7966408,2.1256994
BIBLIOTHÈQUE;7 avenue Auguste Duru - Centre culturel;94480;94;ABLON-SUR-SEINE;;;;;;;;;;;;;;;;48.7243442,2.4207124
BIBLIOTHÈQUE LACHESNAYE;12 rue Guichard;95620;95;PARMAIN;;;;;;;;;;;;;;;;49.1142582,2.2082552
MÉDIATHÈQUE EDMOND ROSTAND;11 rue Nicolas Chuquet;75017;75;PARIS;;;;;;;;;;;;;;;;48.8882471,2.3024499
MÉDIATHÈQUE DE L'ÉCONOMIE;29 rue Dominique Roberty;93700;93;DRANCY;;;;;;;;;;;;;;;;48.9344618,2.4529255
BIBLIOTHÈQUE ALBERT CAMUS;6 rue de la Gare;93270;93;SEVRAN;;;;;;;;;;;;;;;;48.935463,2.5331506
MEDIATHEQUE LE PETIT PRINCE;1 boulevard Hardy - Domaine Formige;93370;93;MONTFERMEIL;;;;;;;;;;;;;;;;48.9032663,2.5624676
BIBLIOTHÈQUE MUNICIPALE;Place Brigitte Gros;78250;78;MEULAN;;;;;;;;;;;;;;;;49.0046899,1.910445
MÉDIATHÈQUE MUNICIPALE;2 rue du Chapeau;77990;77;LE-MESNIL-AMELOT;;;;;;;;;;;;;;;;49.0173571,2.5910882
BIBLIOTHÈQUE MUNICIPALE;15 rue Grande;77760;77;AMPONVILLE;;;;;;;;;;;;;;;;48.279197,2.5294204
BIBLIOTHÈQUE MAISON GONTHIER;Place de la Mairie;77540;77;BERNAY-VILBERT;;;;;;;;;;;;;;;;48.6832611,2.9231717
BIBLIOTHÈQUE DE L'HÔTEL DE VILLE;5 rue Lobau;75004;75;PARIS;;;;;;;;;;;;;;;;48.8569399,2.3537344
MÉDIATHÈQUE SIMONE DE BEAUVOIR;45 rue Geneviève Anthonioz de Gaulle;91200;91;ATHIS-MONS;Subvention Région 2008;;;;;;;;;606162;;;;;;48.7119635,2.3941497
MÉDIATHÈQUE MUNICIPALE;7-9 rue des Vallées;92290;92;CHÂTENAY-MALABRY;"Subvention Région 2000 ; Subvention Région 2001";350633;505768;;;;;;;;;;;;;48.764652,2.2799217
BIBLIOTHÈQUE D'ÉMERY;Rue Louise Michel;77184;77;EMERAINVILLE;Subvention Région 2009;;;;;;;;;;564486;;;;;48.8103482,2.6241913
BIBLIOTHÈQUE MUNICIPALE;Place de la Mairie;77520;77;THÉNISY;;;;;;;;;;;;;;;;48.4879537,3.1776806
BIBLIOTHÈQUE MUNICIPALE;Allée du Stade;77135;77;PONTCARRÉ;;;;;;;;;;;;;;;;48.7982415,2.7059419
MÉDIATHÈQUE MUNICIPALE ALBERT CAMUS;6-8 rue Ollivier Beauregard;91380;91;CHILLY-MAZARIN;;;;;;;;;;;;;;;;48.7029041,2.313767
BIBLIOTHÈQUE;13 rue de la Mairie;91630;91;AVRAINVILLE;;;;;;;;;;;;;;;;48.5629301,2.246478
BIBLIOTHÈQUE MÉDIATHÈQUE LOUIS PERGAUD;1 rue Louis Frébault;94110;94;ARCUEIL;;;;;;;;;;;;;;;;48.8050083,2.3348081
BIBLIOTHÈQUE ANDRÉ MALRAUX;3 mail Rodin;94500;94;CHAMPIGNY-SUR-MARNE;;;;;;;;;;;;;;;;48.8045722,2.5485205
BIBLIOTHÈQUE GEORGES PEREC;20 bis avenue Jean Jaurès;93220;93;GAGNY;;;;;;;;;;;;;;;;48.8836,2.5296819
BIBLIOTHÈQUE MUNICIPALE;4 place de Bendern;78170;78;LA-CELLE-SAINT-CLOUD;;;;;;;;;;;;;;;;48.8407912,2.124073
BIBLIOTHÈQUE MUNICIPALE;Place de la Mairie;78270;78;JEUFOSSE;;;;;;;;;;;;;;;;49.0374652,1.5282151
MÉDIATHÈQUE MUNICIPALE BLAISE CENDRARS;34 avenue du Maréchal Foch;78700;78;CONFLANS-SAINTE-HONORINE;;;;;;;;;;;;;;;;48.9986875,2.0986375
MÉDIATHÈQUE MUNICIPALE JULES VERNE;28 rue des Tournanfis;94360;94;BRY-SUR-MARNE;;;;;;;;;;;;;;;;48.840194,2.5313558
BIBLIOTHÈQUE DU VAL DES QUATRE PIGNONS;Rue du Commerce;78650;78;BEYNES;;;;;;;;;;;;;;;;48.8570732,1.9044027
BIBLIOTHÈQUE MONTESQUIEU;13 avenue Jean Mermoz;91170;91;VIRY-CHÂTILLON;;;;;;;;;;;;;;;;48.6577619,2.3689593
BIBLIOTHÈQUE MONT VALÉRIEN;Place du 8 Mai 1945;92500;92;RUEIL-MALMAISON;;;;;;;;;;;;;;;;48.8713959,2.2033858
LUDO-BIBLIOTHÈQUE JEAN-MARIE VIJOUX;Place Louis Jean Finot;95580;95;ANDILLY;;;;;;;;;;;;;;;;49.004902,2.298976
MÉDIATHÈQUE GEORGE SAND;1 rue du Chenil;77183;77;CROISSY-BEAUBOURG;;;;;;;;;;;;;;;;48.8266053,2.6462329
BIBLIOTHÈQUE MUNICIPALE ALAIN PEYREFITTE;23 rue des Marais;77160;77;PROVINS;;;;;;;;;;;;;;;;48.5581431,3.2988977
BIBLIOTHÈQUE MUNICIPALE;Place du Général Leclerc;77930;77;CHAILLY-EN-BIÈRE;;;;;;;;;;;;;;;;48.465838,2.607519
BIBLIOTHÈQUE L'AUBIMONTHÈQUE;Place de l'Église;77950;77;MONTEREAU-SUR-LE JARD;;;;;;;;;;;;;;;;48.6267616,2.6641744
BIBLIOTHÈQUE GOUTTE D'OR;2-4 rue Fleury;75018;75;PARIS;;;;;;;;;;;;;;;;48.8846117,2.3541143
BIBLIOTHÈQUE MUNICIPALE;65 rue Cornudet;95000;95;NEUVILLE-SUR-OISE;;;;;;;;;;;;;;;;49.0136177,2.0626101
BIBLIOTHÈQUE MUNICIPALE;19 rue Grande;77210;77;SAMOREAU;;;;;;;;;;;;;;;;48.4232154,2.7539704
BIBLIOTHÈQUE MUNICIPALE;Rue de l'École;77950;77;MOISENAY;;;;;;;;;;;;;;;;48.5624051,2.7346551
BIBLIOTHÈQUE MUNICIPALE;5 place Auguste Trézy;77164;77;FERRIÈRES-EN-BRIE;;;;;;;;;;;;;;;;48.8214443,2.7039855
MÉDIATHÈQUE MUNICIPALE VICTOR HUGO;1 rue de la Plaine;91350;91;GRIGNY;Subvention Région 2008;;;;;;;;;401952;;;;;;48.6291579,2.3359754
MÉDIATHÈQUE DANIELLE BIANU;2 rue Marc Sangnier;91330;91;YERRES;;;;;;;;;;;;;;;;48.7147175,2.4896665
BIBLIOTHÈQUE EMILE RICHEBOURG;29 rue du Général Leclerc;78380;78;BOUGIVAL;;;;;;;;;;;;;;;;48.8655269,2.1389816
MÉDIATHÈQUE MUNICIPALE DE LA TREMBLAY;12 rue du Parc;78390;78;BOIS-D'ARCY;;;;;;;;;;;;;;;;48.7998977,2.0236847
MÉDIATHÈQUE MUNICIPALE;Rue Maurice Berteaux;94370;94;SUCY-EN-BRIE;;;;;;;;;;;;;;;;48.7731998,2.5180101
BIBLIOTHÈQUE MUNICIPALE;3 avenue de Liège;94160;94;SAINT-MANDE;;;;;;;;;;;;;;;;48.8435261,2.418948
MÉDIATHÈQUE JACQUES PREVERT;10 rue des Rios;91700;91;VILLIERS-SUR-ORGE;Subvention Région 2012;;;;;;;;;;;;;154800;;48.6552471,2.300598
BIBLIOTHÈQUE MUNICIPALE;Mairie - 2 rue des Plantes;78550;78;GRESSEY;;;;;;;;;;;;;;;;48.83096,1.608632
BIBLIOTHÈQUE ANNEXE ADULTES;"Bâtiment ""Les Marronniers"" - La Verboise - 29 rue du 19 Janvier";92380;92;GARCHES;;;;;;;;;;;;;;;;48.850005,2.1976737
BIBLIOTHÈQUE;74 avenue du Général Leclerc;78220;78;VIROFLAY;Subvention Région 2003;;;;1039499;;;;;;;;;;;48.8046359,2.1766372
BIBLIOTHÈQUE MUNICIPALE DES DAMES GILLES;Boulevard de l'Oise;95490;95;VAURÉAL;;;;;;;;;;;;;;;;49.0309857,2.0217646
BIBLIOTHÈQUE MUNICIPALE;23 rue de la Marèche;95180;95;MENUCOURT;;;;;;;;;;;;;;;;49.0258108,1.9814014
MÉDIATHÈQUE MUNICIPALE GEORGE SAND;5-7 rue de Mora;95880;95;ENGHIEN-LES-BAINS;;;;;;;;;;;;;;;;48.9699054,2.3076794
MÉDIATHÈQUE DE COULANGES - PIERRE RAIN;4 rue Saint-Nicolas;95500;95;GONESSE;"Subvention Région 2002 ; Subvention Région 2003";;;846009;222870;;;;;;;;;;;48.9851916,2.4471637
BIBLIOTHÈQUE MUNICIPALE;3 bis rue Saint-Maurice;78890;78;GARANCIERES;;;;;;;;;;;;;;;;48.821006,1.753745
MÉDIATHÈQUE MUNICIPALE;1 place du Fer-à-cheval;94310;94;ORLY;;;;;;;;;;;;;;;;48.745193,2.401373
BIBLIOTHÈQUE MUNICIPALE CAVANNA;36 boulevard Galliéni;94130;94;NOGENT-SUR-MARNE;;;;;;;;;;;;;;;;48.8406473,2.4845951
MÉDIATHÈQUE MUSICALE;8 rue des Anciennes Mairies;92000;92;NANTERRE;;;;;;;;;;;;;;;;48.8910926,2.1977976
BIBLIOTHÈQUE GEORGE SAND;Quartier du Bel Air - 44 rue de l'Aurore;78100;78;SAINT-GERMAIN-EN-LAYE;;;;;;;;;;;;;;;;48.8940585,2.0701769
BIBLIOTHÈQUE MUNICIPALE;2 rue des Carrières;95420;95;GENAINVILLE;;;;;;;;;;;;;;;;49.1291842,1.7556995
BIBLIOTHÈQUE BILLANCOURT;11 bis rue de Clamart;92100;92;BOULOGNE-BILLANCOURT;;;;;;;;;;;;;;;;48.8306175,2.2434152
BIBLIOTHÈQUE HONORÉ DE BALZAC;13 rue d'Holbach;91700;91;SAINTE-GENEVIÈVE-DES-BOIS;;;;;;;;;;;;;;;;48.6408182,2.3480993
BIBLIOTHÈQUE MUNICIPALE;11 rue du Château;77310;77;BOISSISE-LE-ROI;;;;;;;;;;;;;;;;48.5283935,2.5729072
BIBLIOTHÈQUE MUNICIPALE;Place Gabriel Péri;95260;95;BEAUMONT-SUR-OISE;;;;;;;;;;;;;;;;49.1428176,2.2862725
BIBLIOTHÈQUE JULES VERNE;Rue Rossini;91860;91;EPINAY-SOUS-SÉNART;;;;;;;;;;;;;;;;48.6969392,2.5215891
BIBLIOTHÈQUE COLETTE VIVIER;6 rue Fourneyron;75017;75;PARIS;;;;;;;;;;;;;;;;48.8897634,2.3196494
BIBLIOTHÈQUE MUNICIPALE GERMAINE TILLON;23 avenue Henri Martin;94100;94;SAINT-MAUR-DES-FOSSÉS;;;;;;;;;;;;;;;;48.7994237,2.4883913
MÉDIATHÈQUE MUNICIPALE;70 bis avenue Ledru Rollin;94170;94;LE-PERREUX-SUR-MARNE;;;;;;;;;;;;;;;;48.84224,2.5024942
MÉDIATHÈQUE MUNICIPALE;3 rue de la division du Général Leclerc;94250;94;GENTILLY;"Subvention Région 2002 ; Subvention Région 2005";;;590226;;;253527;;;;;;;;;48.8139278,2.3475749
BIBLIOTHÈQUE MUNICIPALE LA COURÉE;20 rue de Melun;77090;77;COLLÉGIEN;;;;;;;;;;;;;;;;48.8379399,2.6697002
BIBLIOTHÈQUE MUNICIPALE;Rue Michel Servet;77460;77;SOUPPES-SUR-LOING;;;;;;;;;;;;;;;;48.1827169,2.731892
BIBLIOTHÈQUE MUNICIPALE;Rue Victor Hugo;77670;77;SAINT-MAMMES;;;;;;;;;;;;;;;;48.385649,2.8128669
BIBLIOTHÈQUE MUNICIPALE LE MANOIR;17 rue des Tilleuls;77130;77;SAINT-GERMAIN-LAVAL;;;;;;;;;;;;;;;;48.4027576,2.9838812
BIBLIOTHÈQUE MUNICIPALE;12 rue Saint-Denis;77410;77;GRESSY;;;;;;;;;;;;;;;;48.964524,2.6760078
MÉDIATHÈQUE JULES MICHELET;11 rue Jules Michelet;92701;92;COLOMBES;;;;;;;;;;;;;;;;48.9317781,2.266822
BIBLIOTHÈQUE VANDAMME;80 avenue du Maine;75014;75;PARIS;;;;;;;;;;;;;;;;48.8385575,2.3222612
BIBLIOTHÈQUE MUNICIPALE;Mairie de Gambais - Place Charles de Gaulle;78950;78;GAMBAIS;;;;;;;;;;;;;;;;48.7735196,1.6747719
MÉDIATHÈQUE MUNICIPALE DU FORUM;Place du Forum - Quartier de la Haie Griselle;94470;94;BOISSY-SAINT-LEGER;;;;;;;;;;;;;;;;48.7544029,2.5060809
BIBLIOTHÈQUE LA SARIGUE;5 rue Gautherin;78120;78;RAMBOUILLET;;;;;;;;;;;;;;;;48.646402,1.8225216
BIBLIMESLY;4 place de l'Abbaye;94000;94;CRETEIL;;;;;;;;;;;;;;;;48.7780507,2.4703176
MÉDIATHÈQUE MUNICIPALE LE MARQUE P@GE;5-7 rue Victor Hugo;91290;91;LA-NORVILLE;;;;;;;;;;;;;;;;48.5822448,2.2599749
BIBLIOTHÈQUE MUNICIPALE;20-22 rue de Chateaudun;92250;92;LA-GARENNE-COLOMBES;Subvention Région 2008;;;;;;;;;1244954;;;;;;48.9099465,2.2451819
MÉDIATHÈQUE DE LA MAISON DE L'ENFANCE;56 rue Anatole France;93120;93;LA-COURNEUVE;;;;;;;;;;;;;;;;48.9221189,2.4053181
BIBLIOTHÈQUE MUNICIPALE;Chemin de la Butte;78640;78;SAINT-GERMAIN-DE-LA-GRANGE;;;;;;;;;;;;;;;;48.8247835,1.9032264
BIBLIOTHÈQUE MUNICIPALE ALBERT CAMUS;1 bis rue Victorien Sardou;78210;78;SAINT-CYR-L'ECOLE;;;;;;;;;;;;;;;;48.8009733,2.0639188
BIBLIOTHÈQUE MUNICIPALE;24 rue Quincampoix;78580;78;MAULE;;;;;;;;;;;;;;;;48.9087361,1.8493962
BIBLIOTHÈQUE MUNICIPALE;Place de la Mairie;78200;78;JOUY-MAUVOISIN;;;;;;;;;;;;;;;;48.9746373,1.6493558
BIBLIOTHÈQUE MUNICIPALE;Place de la Mairie;78770;78;ANDELU;;;;;;;;;;;;;;;;48.8792052,1.8233567
MÉDIATHÈQUE ARTHUR RIMBAUD;2 place des Baconnets;92160;92;ANTONY;Subvention Région 2008;;;;;;;;;340800;;;;;;48.7407759,2.2979811
BIBLIOTHÈQUE MUNICIPALE;5 rue d'Auxy;77133;77;FÉRICY;;;;;;;;;;;;;;;;48.4591309,2.8016617
BIBLIOTHÈQUE MUNICIPALE;Place Paul Vaillant-Couturier;94460;94;VALENTON;;;;;;;;;;;;;;;;48.745682,2.4693102
BIBLIOTHÈQUE AIMÉ CÉSAIRE;5 rue de Ridder;75014;75;PARIS;;;;;;;;;;;;;;;;48.8312172,2.3117055
MEDIATHÈQUE LE PHARE;Place de Bretagne;78310;78;MAUREPAS;;;;;;;;;;;;;;;;48.7645231,1.9345371
BIBLIOTHÈQUE MUNICIPALE LA ROSERAIE;8 avenue du Président Wilson;78520;78;LIMAY;;;;;;;;;;;;;;;;48.9838543,1.7472273
BIBLIOTHÈQUE MUNICIPALE;Place du 18 Juin 1940;78810;78;FEUCHEROLLES;;;;;;;;;;;;;;;;48.8763854,1.9772671
MÉDIATHÈQUE DES 7 MARES;Centre des 7 Mares;78990;78;ÉLANCOURT;;;;;;;;;;;;;;;;48.782907,1.960077
BIBLIOTHÈQUE MUNICIPALE;1 rue du Gué;78440;78;DROCOURT;;;;;;;;;;;;;;;;49.0568349,1.7703616
BIBLIOTHÈQUE MUNICIPALE;6 rue de l'Église;95640;95;SANTEUIL;;;;;;;;;;;;;;;;49.1254789,1.9509836
MÉDIATHÈQUE MUNICIPALE ELSA TRIOLET ET ARAGON;12 boulevard Léon Feix - Parc de la Mairie;95100;95;ARGENTEUIL;;;;;;;;;;;;;;;;48.9472096,2.2466847
BIBLIOTHÈQUE MUNICIPALE;1 place La Fayette;77730;77;NANTEUIL-SUR-MARNE;;;;;;;;;;;;;;;;48.978049,3.221091
BIBLIOTHÈQUE MUNICIPALE;6 rue de Courtry;77181;77;LE-PIN;;;;;;;;;;;;;;;;48.9150908,2.6298041
BIBLIOTHÈQUE MUNICIPALE;Rue des Ormeaux;77181;77;COURTRY;;;;;;;;;;;;;;;;48.9128819,2.5973382
MÉDIATHÈQUE MUNICIPALE;Espace « La Parenthèse » - Rue du village;91630;91;CHEPTAINVILLE;;;;;;;;;;;;;;;;48.5514009,2.2675171
MÉDIATHÈQUE JEAN-PIERRE VERNANT;9 place des Martyrs de Châteaubriant;77500;77;CHELLES;Subvention Région 2009;;;;;;;;;;1372041;;;;;48.877595,2.5955323
BIBLIOTHÈQUE VICTOR HUGO;5 place des écoles;95680;95;MONTLIGNON;;;;;;;;;;;;;;;;49.0095672,2.2824002
MÉDIATHÈQUE LOUIS ARAGON;2 avenue Gabriel Péri;92223;92;BAGNEUX;;;;;;;;;;;;;;;;48.788772,2.2938435
BIBLIOTHÈQUE MUNICIPALE;Allée des Renardeaux - Hameau de la Cerisaie;95350;95;SAINT-BRICE-SOUS-FORÊT;;;;;;;;;;;;;;;;48.999429,2.356007
BIBLIOTHÈQUE MUNICIPALE ÉCLAT DE LIRE;Grande Rue;78250;78;TESSANCOURT-SUR-AUBETTE;;;;;;;;;;;;;;;;49.0234657,1.9182147
MÉDIATHÈQUE MUNICIPALE ANNE FONTAINE;20 rue Maurice Labrousse;92160;92;ANTONY;;;;;;;;;;;;;;;;48.7546658,2.2973471
MÉDIATHÈQUE;9 place des Fusillés;78500;78;SARTROUVILLE;;;;;;;;;;;;;;;;48.937297,2.1590997
MÉDIATHÈQUE MUNICIPALE LA COUPOLE;Rue Jean-François Millet;77385;77;COMBS-LA-VILLE;;;;;;;;;;;;;;;;48.659706,2.566171
BIBLIOTHÈQUE ALSID D'ORDIGNY;40 Grande Rue;91150;91;ORMOY-LA-RIVIERE;;;;;;;;;;;;;;;;48.4047057,2.1494628
BIBLIOTHÈQUE MUNICIPALE;6 rue de Villarceau;77150;77;LÉSIGNY;;;;;;;;;;;;;;;;48.7444229,2.6160655
MÉDIATHÈQUE PIERRE SEGHERS;6 rue Ambroise Croizat;91430;91;IGNY;;;;;;;;;;;;;;;;48.7404646,2.2265095
MÉDIATHÈQUE PIERRE THIRIOT;Rue Saint-Clair;77340;77;PONTAULT-COMBAULT;Subvention Région 2007;;;;;;;;75600;;;;;;;48.7826431,2.5985922
BIBLIOTHÈQUE MORTIER;109 boulevard Mortier;75020;75;PARIS;;;;;;;;;;;;;;;;48.8714785,2.4086485
BIBLIOTHÈQUE-DISCOTHÈQUE SHEILA CHOISNE;18 rue du 11 Novembre;78690;78;LES-ESSARTS-LE-ROI;;;;;;;;;;;;;;;;48.7175621,1.8945836
BIBLIOTHÈQUE MUNICIPALE;Place des Bains Douches;77130;77;DORMELLES;;;;;;;;;;;;;;;;48.315339,2.903332
BIBLIOTHÈQUE DU POINT DU JOUR;128 rue les Enfants du Paradis;92100;92;BOULOGNE-BILLANCOURT;;;;;;;;;;;;;;;;48.8331219,2.2568148
MÉDIATHÈQUE MUNICIPALE GEORGE SAND;1 rue du Châtelet;77240;77;CESSON;;;;;;;;;;;;;;;;48.5656053,2.6036541
BIBLIOTHÈQUE MUNICIPALE;5 Grande rue de Couture;77134;77;LES-ORMES-SUR-VOULZIE;;;;;;;;;;;;;;;;48.4593719,3.2099464
BIBLIOTHÈQUE;Mairie - 12 rue A. Champagne;91150;91;CHALOU-MOULINEUX;;;;;;;;;;;;;;;;48.383727,2.022571
MÉDIATHÈQUE DU BOURGET - LE POINT D'INTERROGATION;1 allée André Cadot;93350;93;LE-BOURGET;Subvention Région 2012;;;;;;;;;;;;;294850;;48.934003,2.426329
MÉDIATHÈQUE ALEXANDRE JARDIN;107 rue Émile Zola;92600;92;ASNIÈRES-SUR-SEINE;Subvention Région 2004;;;;;335796;;;;;;;;;;48.926547,2.2782701
MÉDIATHÈQUE LOUIS ARAGON;Le Château;91390;91;MORSANG-SUR-ORGE;Subvention Région 2005;;;;;;378186;;;;;;;;;48.6646111,2.3529459
MÉDIATHÈQUE JULES VERNE;4 rue Marcellin Berthelot;92800;92;PUTEAUX;;;;;;;;;;;;;;;;48.8883543,2.2319682
MÉDIATHÈQUE MUNICIPALE LANDOWSKI;28 avenue André Morizet;92100;92;BOULOGNE-BILLANCOURT;;;;;;;;;;;;;;;;48.8358758,2.2394242
BIBLIOTHÈQUE DE L'ORANGERIE;Allée du Verger;95700;95;ROISSY-EN-FRANCE;;;;;;;;;;;;;;;;49.0049766,2.5209212
MÉDIATHÈQUE MUNICIPALE PIERRE SEGHERS;Place Marguerite Yourcenar;91280;91;SAINT-PIERRE-DU-PERRAY;;;;;;;;;;;;;;;;48.613767,2.5052083
BIBLIOTHÈQUE INTERCOMMUNALE GEORGES BRASSENS;28-30 rue Louis Eterlet;77500;77;CHELLES;;;;;;;;;;;;;;;;48.8788761,2.589741
BIBLIOTHÈQUE INTERCOMMUNALE ANNEXE JEAN JAURÈS;4 rue Léon Blum;95400;95;VILLIERS-LE-BEL;;;;;;;;;;;;;;;;49.003917,2.4126353
BIBLIOTHÈQUE-DISCOTHÈQUE CENTRALE;11 rue Camille Desmoulins (adresse postale 26 avenue Louis Georgeon);94230;94;CACHAN;;;;;;;;;;;;;;;;48.7935439,2.3345333
BIBLIOTHÈQUE DU JARDIN PARISIEN;Maison de quartier du Jardin parisien - 20 rue du Parc;92140;92;CLAMART;;;;;;;;;;;;;;;;48.7919268,2.2608445
BIBLIOTHÈQUE MUNICIPALE;125 rue du Vieux Puits;78520;78;SAINT-MARTIN-LA-GARENNE;;;;;;;;;;;;;;;;49.0405257,1.6886811
MÉDIATHÈQUE DU CENTRE-VILLE;4 rue Jules Ferry;93120;93;LA-COURNEUVE;;;;;;;;;;;;;;;;48.9263906,2.392826
BIBLIOTHÈQUE POINT DU JOUR;Passage de l'éveil;95000;95;CERGY;;;;;;;;;;;;;;;;49.0509458,2.0140466
BIBLIOTHÈQUE GEORGES DUHAMEL;44 avenue de Paris;95290;95;L'ISLE-ADAM;;;;;;;;;;;;;;;;49.1102392,2.224826
