CODGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF
QP035001;3583;3583;44919;Saint-Malo;51;28,4;26,9;26,1;30,3;0,8;56,4;;3,3;;1457;2780;312;814;102;229;68;118;9;1004;197;158;253;178;143;75;0
QP035002;8963;33023;211373;Rennes;55,1;55,3;55,2;12,4;13,2;2,7;37,9;5,2;19,6;19,2;3915;7236;546;2650;202;517;232;363;1456;2589;379;396;670;505;360;279;0
QP035003;5061;33023;211373;Rennes;51,3;38,6;36,4;16;19,2;1,9;47,5;2,6;27,3;27,1;1879;3875;368;1007;130;374;139;152;90;1499;284;271;368;265;176;135;0
QP035004;6443;33023;211373;Rennes;50,3;34,8;32,2;18,8;24,5;1,5;56,2;2,2;24,2;22,5;2641;4925;514;1632;139;356;127;171;123;1795;351;328;488;290;193;145;0
QP035005;11281;33023;211373;Rennes;52,5;40,8;38,1;17,8;20;1,9;41,6;4,8;24,1;22,9;3781;9010;732;1760;302;987;455;302;158;3953;626;716;1035;697;486;393;0
QP035006;1275;33023;211373;Rennes;58,2;37,6;43,4;14;14,4;2,3;55,8;;20,2;19,2;609;1114;120;396;20;73;35;33;;411;50;57;112;88;53;51;0
QP035007;1152;1152;9114;Redon;54;31,1;28,6;24,3;29,3;1,1;49,1;2,7;17,1;16,4;273;589;64;123;27;59;25;14;;238;29;29;59;54;38;29;0
QP036001;1634;8108;45209;Châteauroux;56,8;33;32,9;21,3;24,1;;61,8;;12,2;11,9;796;1323;152;518;54;72;22;62;;404;74;75;104;68;48;35;0
QP036002;4877;8108;45209;Châteauroux;54;43,4;38,9;15,8;18,3;2,3;41,9;;22,3;22,5;1710;3993;413;765;152;380;157;115;;1746;296;282;436;333;218;181;0
QP036003;1597;8108;45209;Châteauroux;55,7;39,7;38,2;;;2,1;41,4;;12,9;12,6;477;1056;114;225;34;104;33;46;8;440;63;71;121;85;65;35;0
QP036004;1484;1484;12420;Issoudun;52,3;36,8;32,2;18,4;24,9;1,5;57,2;;6;6,1;517;1017;133;271;27;86;16;50;;387;77;73;92;59;48;38;0
QP037001;1095;2724;13246;Amboise;51,6;43,7;42,8;;;3;23,8;;15;15,4;307;847;75;101;24;107;46;19;;403;59;53;109;88;62;32;0
QP037002;6218;6218;37703;Joué-lès-Tours;53,1;42,1;38,1;18,5;21,5;2;39;6;25,1;24,7;1925;4830;455;796;157;517;264;112;18;2228;335;413;573;417;284;206;0
QP037003;1932;1932;10276;La Riche;54,8;35,1;29,3;22;26,4;1,4;45;3,1;17,4;18,4;665;1338;137;373;46;109;40;46;27;517;85;64;139;94;82;53;0
QP037004;5286;5286;15404;Saint-Pierre-des-Corps;54,1;35,1;34;25,4;27,2;1,2;43,1;3,6;20,7;18,9;1523;3470;304;734;100;385;158;96;14;1459;246;259;357;278;174;145;0
QP037005;3008;21902;134803;Tours;51,3;32,9;34,1;17,7;20;1,5;56,9;;21,4;19,9;1305;2406;235;794;86;190;68;88;23;821;179;172;196;124;95;55;0
QP037006;1078;21902;134803;Tours;52,3;36,9;37;16;19,4;1,9;58,3;0,7;25,3;26;515;1031;99;287;34;95;31;50;16;391;86;71;117;56;35;26;0
QP037007;2546;21902;134803;Tours;58,3;47,3;45,7;16,7;17,8;2,6;30,5;11,9;23,8;24;718;1982;209;237;51;221;101;46;24;989;157;169;282;167;119;95;0
QP037008;2696;21902;134803;Tours;54,2;36,2;33,2;16,3;18,2;1,9;41,9;;13;12,4;1038;2079;236;540;85;177;68;77;8;789;128;127;204;141;100;89;0
QP037009;8783;21902;134803;Tours;51,9;41,1;39,2;17,6;20,9;1,9;46,1;5,4;34;32,5;3295;6574;622;1912;220;541;220;213;292;2515;421;432;627;463;311;261;0
QP037010;2018;21902;134803;Tours;56,3;39,9;37,3;;;;40,2;;18,4;18,2;724;1721;227;287;39;171;66;36;11;789;134;128;220;146;87;74;0
QP037011;1773;21902;134803;Tours;54,4;31,4;28,9;25,8;31,7;0,9;66,7;;21,5;21;896;1416;117;641;51;87;27;78;100;379;71;60;100;58;50;40;0
QP037012;1629;2724;13246;Amboise;54,7;33,6;27,9;25,3;29,7;1,1;47,1;;;;514;986;128;270;39;77;18;40;;359;63;49;65;81;63;38;0
QP038001;2785;10127;35684;Échirolles;51,1;41;40,2;14,6;16,5;2,4;36,3;;21,8;21;907;2149;191;406;64;246;112;53;;926;150;146;247;177;103;103;0
QP038002;940;3085;27163;Bourgoin-Jallieu;55,7;39,8;37,6;;;;47,8;;20,2;21,9;276;727;73;92;25;86;35;22;;339;62;68;83;50;47;29;0
QP038003;5635;10127;35684;Échirolles;51,6;42,2;39;18;20,1;2;28,6;5,1;27,3;25,2;1676;4490;358;633;118;567;257;92;6;2138;367;350;543;410;247;221;0
QP038004;1707;10127;35684;Échirolles;53,9;39,8;38,6;17,1;19,2;2;34,1;4,6;22,9;22,4;605;1427;117;276;50;162;73;22;;608;96;107;165;112;77;51;0
QP038005;2036;2036;22066;Fontaine;52,7;34,2;31,2;27,5;;1;44,1;;19,2;16,9;629;1420;98;315;39;177;68;27;;573;83;84;156;108;89;53;0
QP038006;2893;23333;160215;Grenoble;52,6;44,2;42,7;17;18,7;2,1;31,4;7,5;21,5;22,6;753;1819;120;355;76;202;105;33;6;784;121;134;207;154;94;74;0
QP038007;12304;23333;160215;Grenoble;51,5;39,5;39,7;19,8;19,8;1,6;39,2;6,1;24,7;23,5;3818;9127;623;1893;257;1045;489;307;136;3999;624;619;1049;819;516;372;0
QP038008;6629;23333;160215;Grenoble;52,7;40,1;39,3;19,2;21;1,7;39,9;4,4;21,3;20,6;2407;5618;417;1162;183;645;293;190;114;2377;409;391;616;435;292;234;0
QP038009;1507;23333;160215;Grenoble;53,3;38,2;42,5;21,9;;1;52,1;;33,2;28;693;1174;74;476;58;85;32;33;122;340;47;56;73;69;50;45;0
QP038010;1834;1834;11133;Le Pont-de-Claix;52,7;41,8;39,4;16,1;19,7;2,3;32,3;5,2;22,8;21,9;587;1586;123;212;44;208;102;37;;744;118;118;200;167;80;61;0
QP038011;2473;2473;38019;Saint-Martin-d'Hères;48,2;37,9;36,9;;;2,4;34,5;;28,6;30,5;636;1592;132;260;57;187;85;38;21;712;95;117;202;136;104;58;0
QP038012;1226;1226;19988;Voiron;52,6;38,7;33,4;17;17,8;1,9;37,2;;18,5;17,8;355;826;75;158;30;92;41;17;;353;48;57;97;70;47;34;0
QP038013;2145;3085;27163;Bourgoin-Jallieu;54,8;41;39,9;16,8;;2,1;31,7;;24,5;22,3;628;1706;114;237;54;223;101;26;;796;127;136;217;158;81;77;0
QP038014;2937;2937;16225;L'Isle-d'Abeau;53,6;46,6;46,9;;;6;37,5;4,6;14,3;13,5;1015;2607;277;372;70;296;122;94;;1228;243;217;316;218;136;98;0
QP038015;2357;4418;18168;Villefontaine;50,3;44,9;41,1;;;2,8;40,1;;20,1;21,4;912;2369;201;359;59;293;135;59;24;1107;187;189;297;215;132;87;0
QP038016;2061;4418;18168;Villefontaine;50,8;41,4;39,4;15,3;;2,4;32,8;6;16,1;18,1;593;1644;117;212;35;229;98;20;;787;126;132;206;149;107;67;0
QP038017;1168;1168;8086;Saint-Marcellin;52,4;32,5;29,4;22,6;27,4;1,2;50,3;3,4;18,8;16,6;381;812;77;188;34;82;19;29;;314;45;41;80;68;41;39;0
QP038018;1094;1928;6730;Le Péage-de-Roussillon;51,9;36;34,8;17,7;18,9;1,7;39,7;3;33,4;32,2;285;697;58;119;24;84;31;23;;305;56;49;79;57;35;29;0
QP038019;1417;2511;14832;Le Péage-de-Roussillon, Roussillon;50,7;31,1;31,6;26,3;26;1;42,5;3,3;31,5;27,6;389;857;55;209;19;106;42;27;;341;49;55;99;73;40;25;0
QP038020;1083;1083;4405;Chavanoz;49,8;40,2;38,6;14,8;14,7;2,4;25,9;6,7;20,5;20,6;306;893;55;90;24;137;57;11;;425;56;79;123;77;58;32;0
QP038021;1253;1253;5609;Chasse-sur-Rhône;53,1;39,8;38,8;18;21;1,8;38,4;4,1;15,3;15;356;880;75;148;21;112;36;20;;390;90;71;88;62;44;35;0
QP038022;1182;2349;5148;Pont-Évêque;50,5;37,9;38,2;20,9;24,2;1,5;38,2;5,1;28,5;29,8;374;892;39;175;44;116;58;17;;356;63;54;112;56;38;33;0
QP038023;2107;6825;29325;Vienne;52,7;32,9;29,7;29,4;32,1;0,9;45,7;;16,9;14,9;644;1494;95;303;62;184;78;23;;601;89;91;154;119;84;64;0
QP038024;2641;6825;29325;Vienne;48,9;41,6;41,3;14,4;14;2,4;35,3;5,9;29,8;28,2;808;1882;143;360;84;221;92;60;12;768;119;142;204;161;86;56;0
QP038025;1572;9174;34473;Pont-Évêque, Vienne;50;37;33;19,6;21,2;1,6;37,5;5;17,6;17,7;487;1187;81;203;55;148;68;22;;496;82;59;135;103;76;41;0
QP038026;1672;6825;29325;Vienne;55,4;42;39,1;;;3;19,4;;8,8;9,4;439;1339;83;124;30;202;90;19;;669;102;111;184;126;82;64;0
QP039001;2696;2696;23312;Dole;54,6;36,3;36,6;19,3;21,8;1,6;44,2;;33,5;32;1053;2300;156;542;102;253;109;45;10;886;146;173;238;148;97;84;0
QP039002;3580;3580;17063;Lons-le-Saunier;52,2;35,9;32,3;19,8;23,4;1,6;46,2;;17,6;18;1260;2696;258;638;116;248;108;64;;1072;176;174;269;232;123;98;0
QP039003;1322;2297;10346;Saint-Claude;49,5;40,5;39,9;17;18;2,1;28;3,3;36,4;35,8;319;879;34;112;37;136;61;16;;387;46;61;102;99;47;32;0
QP039004;975;2297;10346;Saint-Claude;50,7;32,6;;22,7;;1,1;51,8;;17,8;17;228;533;21;108;28;71;28;11;;203;22;28;49;43;40;21;0
QP040001;1283;3745;20776;Dax;50,6;28,6;28,9;22,5;27,8;0,9;58,2;;14,2;15,5;569;890;84;393;32;60;12;67;30;229;38;38;66;36;29;22;0
QP040002;1229;3745;20776;Dax;58,2;37,3;35,3;19,3;;1,6;35,3;;11,6;12,8;385;858;129;172;15;69;25;24;;388;58;68;96;71;58;37;0
QP040003;1233;3745;20776;Dax;56;32,1;26;30,9;35,3;0,8;43,5;;17,4;14,8;485;850;77;308;34;66;17;71;53;267;35;43;61;63;41;24;0
QP040004;2405;2405;31334;Mont-de-Marsan;54,9;43,5;42,2;13,2;;2,8;40,7;4,9;16,1;14,7;777;1932;213;308;60;196;91;76;8;913;138;121;259;189;122;84;0
QP040005;1381;1381;9337;Saint-Pierre-du-Mont;55,2;38,7;35,2;17;19,1;1,8;47,1;2,1;12,4;11;379;849;97;179;20;83;35;33;;363;45;57;94;73;57;37;0
QP041001;10703;10703;45539;Blois;51,7;42,5;40,1;15,4;17,1;2,4;39,4;7;40;37,9;3531;8997;724;1446;304;1057;474;233;10;4107;744;732;1114;754;448;315;0
QP041002;3202;3202;17121;Vendôme;49,9;39,6;37,3;17,8;20,5;1,8;47,9;4,9;22,2;21;1046;2253;154;532;97;263;101;77;21;845;145;124;221;191;102;62;0
QP041003;1348;1348;16891;Romorantin-Lanthenay;50,9;34,8;32,8;;;;50,6;;26,3;26,7;490;973;94;265;35;96;33;38;;354;61;57;83;69;55;29;0
QP042001;1257;1257;15673;Montbrison;54,1;44,8;41,5;;;2,3;36,9;;21,1;20,4;375;787;71;186;34;84;29;26;;296;44;63;73;52;47;17;0
QP042002;3168;3168;9844;Andrézieux-Bouthéon;52,4;35,5;34,9;22,9;26;1,3;38,7;3,9;24,4;24,1;764;1809;122;347;66;229;91;41;;747;93;91;185;182;118;78;0
QP042003;1259;1659;12523;Le Chambon-Feugerolles;54,4;39,2;40,6;23;;1,4;35;;29,9;29,5;399;1018;40;173;49;137;70;20;;433;68;72;113;82;61;37;0
QP042004;1108;4783;20412;Le Chambon-Feugerolles, La Ricamarie;53,1;35,1;34,6;22,4;23,5;1,3;42,4;;13,4;11,5;253;646;44;101;22;86;39;14;;282;35;47;68;63;35;34;0
QP042005;1450;1450;9578;La Grand-Croix, Saint-Paul-en-Jarez;52,6;36,9;32,3;20,4;23,5;1,5;34,5;3,5;14,4;15;461;1127;96;200;30;135;56;23;;502;67;91;145;103;59;37;0
QP042006;2416;3124;7889;La Ricamarie;55,1;35,9;33,8;25,9;28,7;1,1;42,9;4,5;21,7;21,2;655;1588;86;313;62;194;104;30;;674;106;110;170;140;85;63;0
QP042007;1186;3297;14658;Rive-de-Gier;50,7;38,3;33,9;20,7;;1,6;31,7;;23,1;20,6;414;1065;57;169;45;143;73;23;;461;77;89;101;72;73;49;0
QP042008;2111;3297;14658;Rive-de-Gier;51,3;41,2;42,5;;;2,6;36,1;;31,2;30,2;521;1369;102;200;40;179;76;63;5;625;105;110;177;109;65;59;0
QP042009;2942;4098;35308;Saint-Chamond;51,2;31,8;30;28;32;0,9;49;;22;23,3;876;2055;115;409;87;265;115;75;18;826;130;121;226;187;106;56;0
QP042010;1156;4098;35308;Saint-Chamond;50,2;40,7;34,3;20,5;23,1;1,5;33,6;;27,3;27,2;326;861;43;134;30;119;57;25;;386;48;64;96;88;60;30;0
QP042011;3174;27403;172023;Saint-Étienne;51,9;47,1;45,1;15,5;16,9;2,4;31,7;;27,1;26,7;808;1885;96;427;47;238;112;48;155;793;128;136;220;149;93;67;0
QP042012;7606;27403;172023;Saint-Étienne;50,6;37,8;37,8;21,1;20,8;1,4;41,7;4,9;27,4;26,2;2492;5694;355;1239;240;658;280;217;174;2285;379;372;601;425;281;227;0
QP042013;7324;27403;172023;Saint-Étienne;50,5;39,8;38;18,7;18,9;1,8;29,4;7,1;27,5;29,4;1714;4532;206;691;175;642;308;74;10;1997;309;340;541;369;257;181;0
QP042014;5174;27403;172023;Saint-Étienne;50,3;39,6;38,2;19,5;20,4;1,5;53,5;4,4;25,9;24,8;1640;3402;200;923;154;363;137;184;183;1251;191;209;331;222;159;139;0
QP042015;2243;27403;172023;Saint-Étienne;51,6;47,2;47;;;3;29,1;8,1;35,8;39,2;412;1050;69;179;49;115;69;24;8;474;53;67;132;98;68;56;0
QP042016;1882;27403;172023;Saint-Étienne;52,8;41,6;37,3;15,8;16,3;2,2;33,9;;20,6;20,3;460;1130;94;209;38;119;52;16;;509;70;63;156;105;65;50;0
QP042017;1972;4382;35507;Roanne;62,1;35,2;30,4;28,4;33,8;1;58,4;2,9;15,8;14,8;697;1328;125;419;46;107;46;52;17;476;79;81;123;92;53;48;0
QP042018;1538;4382;35507;Roanne;52,4;41,4;36,9;21;23,3;1,7;42;;18,3;18,7;318;749;57;153;28;80;30;17;;325;51;60;80;66;46;22;0
QP042019;872;4382;35507;Roanne;54,3;37,9;36;;;;32,9;;21,4;21,9;251;626;45;109;18;79;26;15;;279;24;58;69;56;42;30;0
QP043001;1371;2493;18619;Le Puy-en-Velay;55,7;31,3;;29,1;36,1;;50,7;;24,3;24;436;972;79;216;40;101;44;25;6;404;67;71;101;70;55;40;0
QP043002;1122;2493;18619;Le Puy-en-Velay;54;33,1;32,2;27,5;28,9;1,1;29,9;;21,7;22,3;387;850;56;188;49;94;39;16;;332;49;51;99;65;39;29;0
QP044001;6735;8852;68513;Saint-Nazaire;53,1;40,1;35,2;17,2;19,9;1,9;44;3,1;13,2;11,6;2494;5590;680;1188;117;509;180;188;19;2477;419;425;638;432;337;226;0
QP044002;1008;8852;68513;Saint-Nazaire;54,1;34,3;32,7;;;;50,2;;;;432;831;107;242;24;59;25;34;;319;43;61;65;65;57;28;0
QP044003;1109;8852;68513;Saint-Nazaire;45,1;36,8;39,5;;;;52,7;;28,6;24,5;404;819;80;225;17;82;26;20;;319;56;56;75;51;48;33;0
QP044004;1309;1309;11866;Châteaubriant;51,3;39,6;39,6;;;;37,7;;30,1;24,3;381;931;62;168;33;118;55;26;;398;54;58;86;98;58;44;0
QP044005;16918;49246;336502;Nantes, Saint-Herblain;53,5;38,8;36;17,6;20,9;1,8;41,4;4;20,7;19,5;5086;11832;1034;2376;366;1310;531;328;88;5081;826;839;1348;946;624;498;0
QP044006;5075;41515;292718;Nantes;52,6;43,8;41,5;14,1;17,7;2,5;44,7;5,1;26,7;24,4;1981;4419;451;974;137;419;173;142;14;1879;341;308;454;331;236;209;0
QP044007;3575;41515;292718;Nantes;53,5;39,1;33,1;;20,8;2;46,8;;22,2;21,5;1400;3255;375;637;88;300;123;76;33;1458;250;223;383;255;197;150;0
QP044008;5166;41515;292718;Nantes;50,9;34,8;34,4;12,7;14,5;2,3;48,1;2,5;19,8;16,8;2061;4412;416;1057;141;447;165;108;47;1767;386;326;444;284;198;129;0
QP044009;1927;41515;292718;Nantes;52,9;29,8;;17,5;21,2;1,5;62;;23;20,5;885;1602;161;551;47;126;36;35;12;543;122;105;140;80;55;41;0
QP044010;1733;41515;292718;Nantes;53,2;33,7;32,6;16,7;19,3;1,7;46;0,4;19,6;18;719;1453;182;346;54;137;37;39;6;542;150;117;135;75;35;30;0
QP044011;1275;41515;292718;Nantes;57,9;39,9;38;14,1;18,1;2,3;42,9;2;20,3;18,6;580;1338;161;257;34;128;58;25;;594;98;94;144;108;83;67;0
QP044012;1164;41515;292718;Nantes;49,7;34,7;;;;;56,5;;;;512;1056;85;292;32;103;40;24;18;412;64;84;95;79;54;36;0
QP044013;3130;41515;292718;Nantes;52;41,6;39,1;15,1;16,9;2,3;36,5;5,5;27,6;27,3;1338;3061;280;641;99;318;135;78;120;1311;236;248;301;228;156;142;0
QP044014;5207;41515;292718;Nantes;50,1;36,9;33,9;16,2;17,5;1,9;46,7;3,2;26,6;25,3;2105;4419;398;1162;121;424;191;124;57;1764;319;314;457;332;188;154;0
QP044015;1437;41515;292718;Nantes;49,6;44,2;41,2;;;4;51,3;;29,7;30,8;481;1187;106;203;36;136;53;28;;544;108;87;154;100;56;39;0
QP044016;1100;41515;292718;Nantes;50,9;;;;;;59,9;;14,7;;515;1026;58;318;38;101;49;40;104;368;69;48;87;64;52;48;0
QP044017;1689;1689;24922;Orvault;54,5;41,2;37,5;;;;47,2;;16,2;15;493;1159;107;246;24;116;56;29;13;521;64;80;154;93;65;65;0
QP044018;2967;2967;39568;Rezé;55,2;34,8;32,7;19,8;24,5;1,4;50,6;;15,2;13,4;1016;2156;263;520;49;184;66;74;15;909;145;130;204;193;148;89;0
QP044019;1539;7731;43784;Saint-Herblain;44,1;42,3;43,4;;;;54;;37,2;29,3;569;1240;100;312;34;123;52;17;;511;73;79;142;89;64;64;0
QP045001;984;3463;16488;Saint-Jean-de-la-Ruelle;51,7;36,2;34,1;21;21,8;1,4;39,7;2,7;21,2;21;359;812;70;176;22;91;38;36;;344;69;69;98;55;31;22;0
QP045002;1193;4033;12812;Châlette-sur-Loing;50,4;38,6;35,7;18,8;;1,7;24,5;;36,7;37;301;777;47;115;36;103;45;19;;334;35;51;80;80;49;39;0
QP045003;3913;10084;33951;Châlette-sur-Loing, Montargis, Villemandeur;50,8;39,4;37,1;16,5;18,3;2;45,9;5;29,1;26,9;1455;3335;286;670;130;369;151;97;6;1381;236;225;357;256;167;140;0
QP045004;3009;6051;14326;Montargis;59,5;35;31,4;24,9;30,5;1,2;54,5;;17,1;16;1074;2308;256;533;78;207;73;60;;945;167;172;238;185;105;78;0
QP045005;1969;10084;27138;Châlette-sur-Loing, Montargis;53,7;41,7;37,3;;;2,5;41,5;;23,3;19,1;628;1541;145;272;39;172;68;58;;700;105;115;164;157;86;73;0
QP045006;1720;4896;20677;Fleury-les-Aubrais;51;46;40,4;;;3,3;41,7;;20,1;22,5;495;1343;163;147;29;156;68;31;;667;112;119;178;121;82;55;0
QP045007;2010;4896;20677;Fleury-les-Aubrais;53,9;43,2;41,8;;;3,8;35,7;;27,9;26,8;587;1461;181;208;48;150;67;38;;680;102;127;172;139;83;57;0
QP045008;1166;4896;20677;Fleury-les-Aubrais;49,6;40;;;;;30,7;;22,4;;286;851;61;86;14;125;59;12;;425;70;73;121;77;49;35;0
QP045009;1337;22084;114375;Orléans;55,3;42,4;;;;;35,1;;18,7;17,8;491;1268;129;196;24;142;62;37;35;607;98;104;167;109;72;57;0
QP045010;11261;22084;114375;Orléans;52,4;46;45,2;12,3;12,2;2,9;40,6;6,6;35,3;35,2;3702;9480;662;1617;282;1141;573;240;394;4319;796;787;1148;791;450;347;0
QP045011;7972;22084;114375;Orléans;51;39,8;38,5;17,4;17,4;2;30,7;8,6;30,6;29,7;2186;5352;352;967;218;649;302;119;17;2278;375;391;617;444;252;199;0
QP045012;1514;22084;114375;Orléans;51,2;39,5;33,9;;;1,9;28,9;;23,7;22,4;441;1232;142;116;36;147;68;27;;609;106;101;157;124;68;53;0
QP045013;1223;1223;19571;Saint-Jean-de-Braye;46,4;42,8;36;;;3;34,1;;;;279;774;71;104;15;89;54;26;5;390;71;77;115;73;36;18;0
QP045014;2479;3463;16488;Saint-Jean-de-la-Ruelle;49,5;43,1;41,6;15,5;16,5;2,2;26,3;9,6;35,8;36,3;622;1850;119;182;56;265;131;42;;906;148;156;271;169;91;71;0
QP045015;1384;1384;5440;Sully-sur-Loire;50,5;40;36,9;18,5;19,7;1,9;32,1;6,4;20,5;17,9;326;915;61;109;26;130;53;17;;431;71;65;126;94;43;32;0
QP045016;1676;3191;14624;Gien;54,7;41;39,9;20,4;23;1,7;43,8;;32,1;30,6;527;1261;84;256;49;138;71;16;;543;65;88;155;117;71;47;0
QP045017;1515;3191;14624;Gien;46;34,7;27,7;19,1;22,4;1,5;33,8;3,7;34,9;29,8;378;865;61;176;34;107;45;30;;354;68;67;92;66;34;27;0
QP045018;1450;2607;9039;Pithiviers;52,7;42,4;40;16,1;17,8;2,2;33,4;3,1;23,3;25,2;450;1149;133;166;25;126;60;19;;544;86;84;163;96;64;51;0
QP045019;1157;2607;9039;Pithiviers;51,2;38,3;39;18,9;18;1,8;36,7;5,2;31,4;31,3;378;895;51;173;47;107;44;23;;357;55;59;109;70;28;36;0
QP046001;1036;1036;19616;Cahors;51,4;39,8;31,6;18,6;18,6;1,9;38,3;1,7;19,8;20,3;362;841;106;155;21;80;34;27;5;378;45;51;112;79;55;36;0
QP047001;1963;5305;34344;Agen;55,7;43,9;38,6;15,7;20,1;2,5;40,2;7,4;25,4;24,5;579;1620;163;196;33;187;98;20;;818;112;148;224;167;121;46;0
QP047002;1860;5305;34344;Agen;51,6;49,1;47,3;;;3,6;23;;36,6;36,9;523;1445;122;188;41;172;89;23;;705;109;135;183;125;79;74;0
QP047003;1482;5305;34344;Agen;48,6;32,4;29,5;18,2;21,6;1,3;61,8;;13,6;13,5;632;1020;101;433;35;63;11;92;64;290;53;43;65;64;39;26;0
QP047004;1118;1118;6132;Sainte-Livrade-sur-Lot;51;34;32,7;24,1;27,6;1,1;46,9;2,7;29,3;27,4;304;615;47;176;14;67;27;28;12;229;43;42;61;45;21;17;0
QP047005;2520;2520;23462;Villeneuve-sur-Lot;52,6;32,6;32,7;25,7;28,8;0,9;66;;9,6;;1104;1761;167;750;77;110;22;163;29;478;90;103;126;81;51;27;0
QP047006;1697;1697;18028;Marmande;52,5;33,5;29,3;27,2;30,9;1,1;50,3;;24,4;22,1;410;871;89;203;37;81;28;34;6;347;50;62;99;69;40;27;0
QP047007;1084;1084;8914;Tonneins;54,9;31,8;29,3;30,5;37;0,8;58,7;2,2;19;17,6;375;716;72;214;22;67;19;38;;259;39;50;68;36;39;27;0
QP049001;6236;30295;150125;Angers;52,9;40,1;38,6;15,6;17,9;1,9;45,2;2,1;16,5;15,6;2403;4860;558;1278;160;407;123;188;172;1894;342;333;459;349;241;170;0
QP049002;8904;30295;150125;Angers;55,1;38;33,4;19,9;23,6;1,6;51,6;4,3;21,2;19,5;3027;7243;708;1408;201;710;309;213;60;3291;530;541;862;608;417;333;0
QP049003;1375;30295;150125;Angers;56,7;44,1;40,7;;;;48;;18,3;18,8;424;876;90;252;15;67;29;33;81;371;37;58;99;74;56;47;0
QP049004;2642;30295;150125;Angers;51,3;39,7;33,7;14,5;18,2;;51;;21,7;20,2;912;2042;245;443;46;178;59;67;7;903;137;180;254;151;99;82;0
QP049005;7402;30295;150125;Angers;53,2;40,2;37,4;19;22,1;1,8;45,1;4,6;23,4;21,5;2563;5673;593;1272;173;525;219;230;59;2400;391;423;630;426;284;246;0
QP049006;1450;30295;150125;Angers;54,3;43,5;41,5;;;;55,7;0,9;;;568;1177;122;299;35;112;37;40;90;463;77;67;122;93;57;47;0
QP049007;2286;30295;150125;Angers;53,8;39,3;35;15,3;18,9;2,1;41,3;;17,7;16,8;858;1865;209;434;53;162;66;66;88;795;133;144;188;142;104;84;0
QP049008;2169;2169;13125;Trélazé;52,5;39,9;38,6;;;2;43,8;;15,7;15,7;701;1655;125;341;53;182;93;64;20;714;118;113;190;130;88;75;0
QP049009;1510;7539;53890;Cholet;52,4;38,2;36,9;;;;46,1;;24,9;22,9;604;1303;125;307;40;132;51;37;;528;90;99;144;91;61;43;0
QP049010;1970;7539;53890;Cholet;52;39;36,8;18,3;21,6;1,7;47,5;;35,8;37,1;703;1567;107;371;52;173;90;51;34;629;105;93;182;102;81;66;0
QP049011;1973;7539;53890;Cholet;49,9;38,8;36,1;17,2;21;1,6;49,3;;21,9;24,9;679;1417;150;350;43;136;49;90;20;560;112;105;134;100;74;35;0
QP049012;2086;7539;53890;Cholet;54,1;37,7;37,3;16,3;19,5;1,9;52,9;;15,3;14,5;744;1463;149;414;48;133;51;45;;548;107;120;139;88;52;42;0
QP049013;3486;3486;27413;Saumur;52,5;34,1;32,1;24,3;28,4;1,1;46,7;3,5;10;9,2;1341;2609;291;778;86;186;69;116;69;992;148;140;254;212;140;98;0
QP050001;1222;1222;10183;Avranches;55,3;26,6;23,1;32;38,2;0,7;60,6;1,1;5;4,1;451;772;90;279;32;50;12;30;;238;28;34;70;49;34;23;0
QP050002;1853;3454;19285;Saint-Lô;55,5;31,2;28,7;23,9;29,7;0,9;66,9;;6,4;6,6;688;1246;157;395;43;93;21;43;12;436;65;72;125;83;59;32;0
QP050003;1601;3454;19285;Saint-Lô;55,9;30;28;;;1;64,2;;6,7;;586;1060;114;362;32;78;24;44;17;369;52;62;89;67;56;43;0
QP050004;1467;1467;8951;Coutances;55,1;36,6;31,7;19,8;24,7;1,4;53,3;1,3;5;3,8;559;951;104;354;48;53;14;61;6;307;41;42;79;71;44;30;0
QP050005;6672;9855;80978;Cherbourg-en-Cotentin;52,8;37,2;34,6;18,4;21,4;1,6;51,9;;11,3;10,6;2369;4302;455;1402;190;322;92;203;70;1417;236;233;361;260;191;136;0
QP050006;1754;9855;80978;Cherbourg-en-Cotentin;53,3;38;34,5;17,2;20,4;1,7;45,6;;;;494;1024;90;256;39;109;34;43;14;387;70;66;104;71;49;27;0
QP050007;1429;9855;80978;Cherbourg-en-Cotentin;52,2;33,4;32,2;;;;49,8;;;;377;715;69;229;14;65;25;32;;259;45;39;59;49;38;29;0
QP051001;3622;6779;44899;Châlons-en-Champagne;49,5;39,2;35,5;16,8;18,2;1,9;51,3;;19,6;18,8;1197;2711;277;546;94;280;96;84;10;1137;220;212;268;206;144;87;0
QP051002;3157;6779;44899;Châlons-en-Champagne;53,1;37,4;35,7;17,5;20,3;1,7;51,2;;9,7;8,8;1029;1999;233;585;52;159;53;105;;757;121;126;197;149;110;54;0
QP051003;11833;35052;182592;Reims;51,5;47;43,5;11,4;12,3;3,4;38,7;7,8;27,9;28,6;4047;9325;1030;1975;248;794;344;242;384;4213;652;745;1129;760;509;418;0
