id,nom,ville,page,code_postal
66,CS/MPT LA SOLIDARITE, MARSEILLE 15EME ARRONDISS,1,13015 
67,CENTRE SOCIAL Espace 19 Cambrai, PARIS 19EME ARRONDISSEMENT,1,75019 
68,CENTRE SOCIAL CAP SOLIDARITE, Lieusaint,1,77127 
70,ESPACE SOCIOCULTUREL CHENNEVIERES, Chennevières,1,94430 
71,CENTRE SOCIAL  LES SOURCES  COTE SAINT ANDRE, Côte,1,38260 
72,BRESSUIRE, Bressuire,1,79300 
73,MQ PETIT FORT PHILIPPE, Gravelines,1,59820 
74,ESPACE FONTAINES, Franconville,1,95130 
75,CENTRE SOCIAL DES EPINETTES, PARIS 17EME ARRONDISSEMENT,1,75017 
76,CENTRE SOCIAL DE COMINES, Comines,1,59560 
78,ASSOCIATION CENTRE SOCIOCULTUREL DES ÉPINETTES, Gagny,1,93220 
79,CS VELTEN, MARSEILLE 1ER ARRONDISSEM,1,13001 
80,CS  ESTAQUE ET BASSIN DE SEON, MARSEILLE 16EME ARRONDISS,1,13016 
82,CENTRE SOCIAL ET CULTUREL LAVIEU CENTRE-VILLE, Saint,1,42400 
83,CENTRE SOCIAL ASSOCIATIF MAISON DE QUARTIER DES CHAMPS ELYSEES, Évry,1,91000 
84,ESPACE FAMILLE, Blagnac,1,31700 
85,centre d'animation Bordeaux sud, Bordeaux,1,33300 
86,CENTRE SOCIAL ET CULTUREL DE TASDON BONGRAINE  LES MINIMES, Rochelle,1,17000 
87,CENTRE SOCIAL ET CULTUREL CHRISTIANE FAURE, Rochelle,1,17000 
88,CENTRE SOCIAL MUNICIPAL, Vif,1,38450 
91,CENTRE SOCIAL DES GRANDES BORNES, Goussainville,2,95190 
92,CENTRE SOCIAL ARCHIPELIA, PARIS 20EME ARRONDISSEMENT,2,75020 
93,Espace Socioculturel Val de Charente, Ruffec,2,16700 
94,CENTRE SOCIAL Maison Des Habitants Champaret, Bourgoin,2,38300 
