Libelle1;Libelle2;Localisation;voie;CP;CEDEXB;Ville;DEPT;INSEE;coordonnees_ban;coordonnees_insee;coordonnees_finales;code_bib;code_ua;Code region;Statut;surface;type_adresse;amplitude_horaire;pop_com
DIRECTION DES RESEAUX DE LECTURE PUBLIQUE;;;81 CHEMIN DES PRES;71850;;CHARNAY-LES-MÂCON;71;71105;46.305584, 4.800429;46.3041852737, 4.78693813476;46.305584,4.800429;3141.0;3141.0;27;Bibliothèque départementale;;Bibliothèque ouverte au public;;7311.0
BIBLIOTHEQUE  de CHATENAY;;Le Bourg;;71800;;Chatenay;71;71116;46.290811, 4.382177;46.2913546739, 4.38266694341;46.290811,4.382177;18286.0;3144.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;162.0
Bibliotheque Municipale;;;4 Avenue Mozart;71880;;Châtenoy-le-Royal;71;71118;46.791871, 4.813894;46.788588171, 4.8058563943;46.791871,4.813894;3143.0;3143.0;27;Bibliothèque municipale;420.0;Bibliothèque ouverte au public;33.0;6326.0
Bibliothèque Municipale;;;Place Montfort;71150;;Chaudenay;71;71119;46.914506, 4.792701;46.9154246356, 4.79538440748;46.914506,4.792701;18288.0;18288.0;27;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;4.0;1141.0
QUARTIER LIVRES;bibliothèque La Clayette;;1 bis Passage du Vieux-Moulin;71800;;La Clayette;71;71133;46.291277, 4.30623;46.2892944317, 4.31079967145;46.291277,4.30623;3145.0;3144.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;1796.0
Relais Lecture 2;;;LE BOURG;71620;;Damerey;71;71167;46.832425, 4.987318;46.8344484396, 4.99429761869;46.832425,4.987318;5976.0;5976.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;580.0
Bibliothèque Municipale;;;11 RUE GEORGES LAFLEUR;71160;;Digoin;71;71176;46.481963, 3.97905;46.4891651235, 4.02511604849;46.481963,3.97905;3153.0;3153.0;27;Bibliothèque municipale;921.0;Bibliothèque ouverte au public;21.5;8173.0
Bibliotheque Municipale;;;72 Place Philippe Malaud;71520;;Dompierre-les-Ormes;71;71178;46.36099, 4.483013;46.354950302, 4.48081055025;46.36099,4.483013;3154.0;3154.0;27;Bibliothèque municipale;57.0;Bibliothèque ouverte au public;6.0;956.0
Bibliotheque Municipale;;MAIRIE;4 rue Charle Emile JACQUE;71380;;Epervans;71;71189;46.748851, 4.901204;46.7457712756, 4.90239745895;46.748851,4.901204;3155.0;3155.0;27;Bibliothèque municipale;272.0;Bibliothèque ouverte au public;9.0;1670.0
Bibliothèque Municipale;;Le Bourg;;71340;;Fleury-la-Montagne;71;71200;46.203641, 4.119268;46.1997654702, 4.1256489354;46.203641,4.119268;18144.0;18144.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;704.0
Bibliothèque Municipale;;;Impasse des Arts;71390;;Fley;71;71201;46.669607, 4.641674;46.6759560566, 4.63908082855;46.669607,4.641674;18289.0;18289.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;236.0
Bibliothèque Pôle de Frontenaud;;;140 Place de la mairie;71580;;Frontenaud;71;71209;46.55211, 5.293631;46.5482784948, 5.29083572414;46.55211,5.293631;14412.0;3229.0;27;Bibliothèque municipale;202.0;Bibliothèque ouverte au public;10.5;763.0
BIBLIOTHEQUE DE GIBLES;;;LE BOURG;71800;;Gibles;71;71218;46.323633, 4.377081;46.3179773987, 4.38022998111;46.323633,4.377081;3161.0;3144.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;628.0
Bibliothèque Municipale;;;RUE DE LA NOIERIE;71960;;Igé;71;71236;46.39807, 4.744213;46.4053982627, 4.73487976051;46.39807,4.744213;4755.0;4755.0;27;Bibliothèque municipale;110.0;Bibliothèque ouverte au public;6.0;885.0
Bibliothèque Municipale;;Mairie;Le Bourg;71240;;Jugy;71;71245;46.606756, 4.864535;46.6044707808, 4.86148307035;46.606756,4.864535;18298.0;18298.0;27;Bibliothèque municipale;30.0;Bibliothèque ouverte au public;20.0;336.0
Bibliothèque Municipale;;;2 Place de l'Abreuvoir;71260;;Lugny;71;71267;46.472173, 4.807937;46.4805805718, 4.81912339905;46.472173,4.807937;3171.0;3171.0;27;Bibliothèque municipale;207.0;Bibliothèque ouverte au public;12.5;984.0
Bibliotheque Municipale;;MAIRIE;16 PLACE DE LA FONTAINE;71710;;MARMAGNE;71;71282;46.836773, 4.354708;46.8429753005, 4.37123447631;46.836773,4.354708;3174.0;3174.0;27;Bibliothèque municipale;133.0;Bibliothèque ouverte au public;6.0;1274.0
Bibliothèque Massilly;;;Place de la Mairie;71250;;Massilly;71;71287;46.491006, 4.671741;46.4908350512, 4.66945256607;46.491006,4.671741;3176.0;3176.0;27;Bibliothèque municipale;37.0;Bibliothèque ouverte au public;5.0;369.0
Bibliothèque Mesvres;;;6 Grande Rue;71190;;MESVRES;71;71297;46.862723, 4.240446;46.8702793384, 4.25320711622;46.862723,4.240446;14532.0;3130.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;789.0
Bibliotheque Municipale;;Clos Chapot;Hameau de Sully;71240;;NANTON;71;71328;46.611837, 4.812744;46.6196318731, 4.81580507035;46.611837,4.812744;3182.0;3182.0;27;Bibliothèque municipale;60.0;Bibliothèque ouverte au public;4.0;646.0
Bibliotheque Dr J.P. Lebeurrier;;;25 RUE GAILLARD;71370;;Ouroux-sur-Saône;71;71336;46.718282, 4.954502;46.7242227229, 4.95068555425;46.718282,4.954502;3184.0;3184.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;3143.0
Bibliothèque Municipale;;;Rue de Génelard;71430;;Palinges;71;71340;46.556124, 4.22066;46.547452342, 4.20782928989;46.556124,4.22066;18260.0;18260.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;1562.0
Bibliotheque Municipale;;BP 40008;Place de l 0385888027;71601;cedex 1;Paray-le-Monial;71;71342;;46.4431191464, 4.11289928796;46.4431191464,4.11289928796;3185.0;3185.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;9679.0
SIVU Bibliotheque de Saint Boil;;;Place de la salle des Fêtes;71390;;SAINT BOIL;71;71392;46.655247, 4.683805;46.6416818485, 4.69957680942;46.655247,4.683805;3205.0;3205.0;27;Bibliothèque municipale;65.0;Bibliothèque ouverte au public;11.0;505.0
Bibliotheque Municipale;;MAIRIE;1 Place du Champ de Foire;71220;;Saint-Bonnet-de-Joux;71;71394;46.481928, 4.438777;46.4782854677, 4.43348327243;46.481928,4.438777;3206.0;3206.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;769.0
Bibliothèque de Saint-Gengoux-de-Scissé;;;7 Rue du 19 mars 1962;71260;;Saint-Gengoux-de-Scissé;71;71416;46.463916, 4.774618;46.4618494936, 4.77147556185;46.463916,4.774618;17680.0;17680.0;27;Bibliothèque municipale;66.0;Bibliothèque ouverte au public;4.0;619.0
Médiathèque-Bibliotheque Intercommunale;;;2 Allée du Stade;71370;;Saint-Germain-du-Plain;71;71420;46.702976, 4.984475;46.6944314945, 4.98395008765;46.702976,4.984475;3211.0;3211.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;2285.0
Bibliothèque Municipale;;Le Bourg;;71110;;Saint-Julien-de-Jonzy;71;71434;46.236736, 4.142007;46.2465829931, 4.14251158557;46.236736,4.142007;18267.0;18267.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;334.0
Bibliothèque Municipale;;;22 Route de Saint-Gengoux;71210;;Saint-Laurent-d'Andenay;71;71436;46.73762, 4.513934;46.7305082565, 4.51202776715;46.73762,4.513934;18320.0;18320.0;27;Bibliothèque municipale;75.0;Bibliothèque ouverte au public;4.0;1045.0
Bibliotheque Municipale;;MAIRIE;137 Route du Mesvrin;71710;;Saint-Symphorien-de-Marmagne;71;71482;46.839299, 4.332233;46.8287800978, 4.31825474649;46.839299,4.332233;3219.0;3219.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;859.0
Bibliothèque Municipale de Saint-Symphorien-des-Bois;;Le Bourg;;71800;;Saint-Symphorien-des-Bois;71;71483;46.333397, 4.28314;46.3269509169, 4.2853376663;46.333397,4.28314;18269.0;18269.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;450.0
Bibliotheque Municipale;;MAIRIE;;71440;;Saint-Vincent-en-Bresse;71;71489;46.665187, 5.060204;46.6714691563, 5.06091030866;46.665187,5.060204;3221.0;3221.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;572.0
Bibliothèque Municipale;;;Rue des Ecoles;71260;;Senozan;71;71513;46.394621, 4.866595;46.3967416331, 4.86457842244;46.394621,4.866595;17673.0;17673.0;27;Bibliothèque municipale;120.0;Bibliothèque ouverte au public;7.0;1134.0
Bibliothèque de Sivignon;;Mairie;;71220;;Sivignon;71;71524;46.42623, 4.498915;46.4267420251, 4.49917646039;46.42623,4.498915;5979.0;5979.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;174.0
BIBLIOTHEQUE DE TANCON;;;Le bourg;71740;;Tancon;71;71533;46.212373, 4.2913;46.2007159715, 4.27045776133;46.212373,4.2913;5950.0;3144.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;570.0
Bibliotheque Municipale;;;Avenue de Bourgogne;71210;;TORCY;71;71540;46.784069, 4.430518;46.7663790814, 4.44629007139;46.784069,4.430518;3224.0;3224.0;27;Bibliothèque municipale;749.0;Bibliothèque ouverte au public;26.0;3083.0
Bibliothèque municipale;Toulon sur arroux;Moulin des Roches;rue;71320;;Toulon-sur-Arroux;71;71542;46.682028, 4.14819;46.6826511645, 4.14773994061;46.682028,4.14819;3225.0;3225.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;1626.0
Bibliothèque d'Uchizy;;;Salle du Donjon;71700;;Uchizy;71;71550;46.503128, 4.883674;46.4985733672, 4.88689760055;46.503128,4.883674;17681.0;17681.0;27;Bibliothèque municipale;;Bibliothèque ouverte au public;;870.0
MEDIATHEQUE LOUISE MICHEL;;;AVENUE CHARLES DE GAULLE;72703;CEDEX;ALLONNES;72;72003;;47.9589683966, 0.143770981533;47.9589683966,0.143770981533;3235.0;3235.0;52;Bibliothèque municipale;1150.0;Bibliothèque ouverte au public;23.0;11252.0
MEDIATHEQUE INTERCOMMUNALE;ESPACE CYBELE;MAIRIE;2 PLACE DE LA MAIRIE;72200;;LE BAILLEUL;72;72022;47.768171, -0.161517;47.7724310115, -0.179561724396;47.768171,-0.161517;9132.0;3258.0;52;Bibliothèque municipale;1120.0;Bibliothèque ouverte au public;31.5;1256.0
BIBLIOTHEQUE MUNICIPALE;ESPACE FRANCOIS MITTERRAND;BALLON-SAINT MARS;;72290;;BALLON-SAINT MARS;72;72023;48.175273, 0.234845;48.1716510339, 0.226519968503;48.175273,0.234845;9133.0;9133.0;52;Bibliothèque municipale;75.0;Bibliothèque ouverte au public;9.3;2220.0
BIBLIOTHEQUE MUNICIPALE;LA BAZOGE;;72 AVENUE NATIONALE;72650;;LA BAZOGE;72;72024;48.100251, 0.154194;48.1027362098, 0.14422733228;48.100251,0.154194;9134.0;9134.0;52;Bibliothèque municipale;160.0;Bibliothèque ouverte au public;15.0;3733.0
BIBLIOTHEQUE;;;12 RUE PRINCIPALE;72400;;BOESSE LE SEC;72;72038;48.134479, 0.564023;48.1352696727, 0.558033201406;48.134479,0.564023;9140.0;9140.0;52;Bibliothèque municipale;;Bibliothèque ouverte au public;;636.0
BIBLIOTHEQUE;;;9 RUE DE LA GARE;72170;;CHERANCE;72;72078;48.287951, 0.174657;48.2814181284, 0.175668329779;48.287951,0.174657;9153.0;9153.0;52;Bibliothèque municipale;60.0;Bibliothèque ouverte au public;6.0;381.0
BIBLIOTHEQUE;;;8 RUE DE LA MAIRIE;72800;;COULONGE;72;72098;47.689984, 0.20229;47.6923999815, 0.194526929998;47.689984,0.20229;9157.0;9157.0;52;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;4.0;546.0
BIBLIOTHEQUE;;;25 RUE DES SOURCES;72390;;DOLLON;72;72118;48.038706, 0.591092;48.0360309875, 0.59353315613;48.038706,0.591092;9161.0;9161.0;52;Bibliothèque municipale;70.0;Bibliothèque ouverte au public;4.0;1520.0
BIBLIOTHEQUE MUNICIPALE;;;1 RUE DES GESLERIES;72210;;FILLÉ-SUR-SARTHE;72;72133;47.898797, 0.125085;47.9023789335, 0.115228035183;47.898797,0.125085;18892.0;18892.0;52;Bibliothèque municipale;150.0;Bibliothèque ouverte au public;8.0;1542.0
BIBLIOTHEQUE;;;62 RUE NATIONALE;72230;;GUECELARD;72;72146;47.875675, 0.126707;47.8842699845, 0.142030828594;47.875675,0.126707;9165.0;9165.0;52;Bibliothèque municipale;;Bibliothèque ouverte au public;;3025.0
Mediatheque Louis Aragon;Louis Aragon;CS 40010;9 RUE JULIEN PESCHE;72039;cedex 9;Le Mans;72;72181;;47.9885256718, 0.200030493539;47.9885256718,0.200030493539;3251.0;3251.0;52;Bibliothèque municipale classée;5878.0;Bibliothèque ouverte au public;37.5;147121.0
Mediatheque De L'Espal;;;60-62 Rue de l'esterel;72100;;Le Mans;72;72181;47.995191, 0.233627;47.9885256718, 0.200030493539;47.995191,0.233627;5980.0;3251.0;52;Bibliothèque municipale classée;;Bibliothèque ouverte au public;;147121.0
BIBLIOTHEQUE;;;9 RUE DU CHAMP DE FOIRE;72510;;MANSIGNE;72;72182;47.745719, 0.13649;47.7413528401, 0.133663213026;47.745719,0.13649;9173.0;9173.0;52;Bibliothèque municipale;70.0;Bibliothèque ouverte au public;6.5;1624.0
PÔLE-LECTURE DE MAROLLES-LES-BRAULTS;;;4 RUE DU GENERAL DE GAULLE;72260;;MAROLLES- LES- BRAULTS;72;72189;48.252309, 0.31198;48.2539587745, 0.320191786224;48.252309,0.31198;3253.0;18365.0;52;Bibliothèque municipale;;Bibliothèque ouverte au public;;2095.0
BIBLIOTHEQUE MUNICIPALE;;;RUE DES JONQUILLES;72650;;LA MILESSE;72;72198;48.064872, 0.136598;48.0667169973, 0.135919277684;48.064872,0.136598;3255.0;3255.0;52;Bibliothèque municipale;120.0;Bibliothèque ouverte au public;13.0;2657.0
BIBLIOTHEQUE LECTURE POUR TOUS;;;2 Rue DE SILLE LE PHILIPPE;72110;;SAINT CELERIN;72;72271;48.122942, 0.430384;48.1258397672, 0.433533893718;48.122942,0.430384;9188.0;9188.0;52;Bibliothèque municipale;110.0;Bibliothèque ouverte au public;5.0;888.0
BIBLIOTHEQUE;;;32 GRANDE RUE;72460;;SAINT CORNEILLE;72;72275;48.066209, 0.343882;48.0774289474, 0.342197463189;48.066209,0.343882;9189.0;9189.0;52;Bibliothèque municipale;20.0;Bibliothèque ouverte au public;4.0;1389.0
BIBLIOTHEQUE;MAIRIE;;1 PLACE DE LA VICTOIRE;72350;;SAINT DENIS D ORQUES;72;72278;48.027083, -0.273572;48.0311233627, -0.275648536634;48.027083,-0.273572;9190.0;9190.0;52;Bibliothèque municipale;28.0;Bibliothèque ouverte au public;4.0;840.0
BIBILIOTHÈQUE MUNICIPALE;;;13 BIS RUE DU 11 NOVEMBRE;72380;;SAINTE JAMME SUR SARTHE;72;72289;48.142838, 0.165191;48.138410724, 0.158484582373;48.142838,0.165191;9194.0;9194.0;52;Bibliothèque municipale;258.0;Bibliothèque ouverte au public;10.0;2100.0
BIBILIOTHÈQUE;;;37 BIS RUE PRINCIPALE;72380;;SAINT-JEAN-D'ASSÉ;72;72290;48.150589, 0.127774;48.158356786, 0.121471172036;48.150589,0.127774;9195.0;9195.0;52;Bibliothèque municipale;100.0;Bibliothèque ouverte au public;8.0;1733.0
BIBLIOTHEQUE;;;1 route de Flacé;72210;;SOULIGNE FLACE;72;72339;47.972856, 0.010179;47.9670341132, 0.0141635131783;47.972856,0.010179;9210.0;9210.0;52;Bibliothèque municipale;23.0;Bibliothèque ouverte au public;3.0;700.0
MEDIATHEQUE MUNICIPALE LES MOTS PASSANTS;;;6 RUE DES TANNEURS;72210;;LA SUZE-SUR-SARTHE;72;72346;47.888959, 0.028512;47.8772923207, 0.0251444644642;47.888959,0.028512;3261.0;3261.0;52;Bibliothèque municipale;460.0;Bibliothèque ouverte au public;19.5;4517.0
BIBLIOTHEQUE;;;2 RUE PRINCIPALE;72800;;THOREE LES PINS;72;72357;47.68709, 0.041893;47.6661683505, 0.0339317804074;47.68709,0.041893;9215.0;9215.0;52;Bibliothèque municipale;20.0;Bibliothèque ouverte au public;3.0;741.0
BIBLIOTHEQUE CATHERINE PAYSAN;;;33 RUE DE LOUPLANDE;72210;;VOIVRES LES LE MANS;72;72381;47.930421, 0.069551;47.9278286492, 0.0845168943294;47.930421,0.069551;9220.0;9220.0;52;Bibliothèque municipale;;Bibliothèque ouverte au public;;1389.0
BIBLIOTHEQUE;;;27 RUE DU 11 NOVEMBRE;72330;;YVRE LE POLIN;72;72385;47.820908, 0.154478;47.8344620716, 0.159510178703;47.820908,0.154478;9222.0;9222.0;52;Bibliothèque municipale;58.0;Bibliothèque ouverte au public;9.5;1784.0
Bibliothèque d'Aiguebelle;;Foyer rural;;73220;;Aiguebelle;73;73002;45.541931, 6.304519;45.5328984806, 6.30449738468;45.541931,6.304519;9223.0;9223.0;84;Bibliothèque municipale;65.0;Bibliothèque ouverte au public;5.0;1187.0
Bibliothèque Municipale;;;20 RUE CRÊT COQUET;73260;;GRAND-AIGUEBLANCHE;73;73003;45.503309, 6.508544;45.5198646844, 6.51470725301;45.503309,6.508544;3265.0;3265.0;84;Bibliothèque municipale;186.0;Bibliothèque ouverte au public;18.5;3250.0
Bibliotheque Municipale Lamartine;;;2 RUE LAMARTINE;73100;;Aix-les-Bains;73;73008;45.690805, 5.915112;45.6978541675, 5.90388626955;45.690805,5.915112;3267.0;3267.0;84;Bibliothèque municipale;1100.0;Bibliothèque ouverte au public;25.0;30419.0
Bibliotheque Municipale;Mairie;;25 rue du château;73110;805;Arvillard;73;73021;45.441938, 6.118408;45.4097930929, 6.16998092383;45.441938,6.118408;9230.0;9230.0;84;Bibliothèque municipale;124.0;Bibliothèque ouverte au public;4.0;860.0
Bibliotheque Municipale;;MAIRIE;;73370;;Bourdeau;73;73050;45.683103, 5.855246;45.6771264766, 5.85370895157;45.683103,5.855246;9244.0;9244.0;84;Bibliothèque municipale;56.0;Bibliothèque ouverte au public;4.0;568.0
Bibliothèque Municipale;;Chef-lieu;5 rue rue des Anciennes Galeries;73310;;Chanaz;73;73073;45.808622, 5.791895;45.8034782998, 5.79654546056;45.808622,5.791895;9259.0;9259.0;84;Bibliothèque municipale;60.0;Bibliothèque ouverte au public;5.0;516.0
Bibliotheque Municipale;;MAIRIE;705 route de la Mairie;73660;;Les Chavannes-en-Maurienne;73;73083;45.389244, 6.281056;45.389687369, 6.2888113422;45.389244,6.281056;9263.0;9263.0;84;Bibliothèque municipale;25.0;Bibliothèque ouverte au public;2.0;260.0
Mediathèque municipale;;;Centre com de l'Epine;73160;;Cognin;73;73087;45.561359, 5.898234;45.5594810193, 5.89180815798;45.561359,5.898234;3280.0;3280.0;84;Bibliothèque municipale;480.0;Bibliothèque ouverte au public;17.0;6287.0
Bibliotheque  Municipale;;CHEMIN DES CROES;78 CHEMIN DES CROES;73590;;Crest-Voland;73;73094;45.794933, 6.504206;45.7896752359, 6.51608069874;45.794933,6.504206;9270.0;9270.0;84;Bibliothèque municipale;80.0;Bibliothèque ouverte au public;4.5;389.0
Bibliothèque Adrienne MONNIER;;La Combe;;73230;;Les Déserts;73;73098;45.620499, 6.009968;45.6408440768, 5.99604230711;45.620499,6.009968;9273.0;9273.0;84;Bibliothèque municipale;83.0;Bibliothèque ouverte au public;6.0;783.0
Bibliotheque Municipale La Fontaine aux livres;;;COUR DES ECOLES;73330;;Domessin;73;73100;45.522803, 5.699374;45.5371179998, 5.70221062208;45.522803,5.699374;3281.0;3281.0;84;Bibliothèque municipale;60.0;Bibliothèque ouverte au public;5.0;1880.0
Bibliotheque municipale;;MAIRIE;rue de la mairie;73220;;Épierre;73;73109;45.454022, 6.294339;45.4524759546, 6.32466741894;45.454022,6.294339;9277.0;9277.0;84;Bibliothèque municipale;45.0;Bibliothèque ouverte au public;4.0;779.0
Bibliotheque Municipale;;;80 RUE DES ARAVIS;73590;;FLUMET;73;73114;45.81935, 6.516341;45.8347717729, 6.52972144353;45.81935,6.516341;9279.0;9279.0;84;Bibliothèque municipale;25.0;Bibliothèque ouverte au public;4.0;841.0
Bibliothèque Municipale;;Mairie;;73500;;Fourneaux;73;73117;45.191373, 6.650852;45.1790051314, 6.63768399812;45.191373,6.650852;9280.0;9280.0;84;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;2.0;675.0
Bibliothèque Municipale;;Mairie;84 rue General DECOUZ;73800;;Francin;73;73118;45.499869, 6.034094;45.4921246224, 6.03037399148;45.499869,6.034094;9281.0;9281.0;84;Bibliothèque municipale;45.0;Bibliothèque ouverte au public;5.0;948.0
Bibliotheque Municipale;;MAIRIE;CD 925;73200;;Grignon;73;73130;45.645823, 6.369899;45.6421717118, 6.38372169869;45.645823,6.369899;3285.0;3285.0;84;Bibliothèque municipale;120.0;Bibliothèque ouverte au public;8.0;2117.0
Bibliothèque Municipale;De Mercury;;980 route de Chevron;73200;;Mercury;73;73154;45.672581, 6.334658;45.688171193, 6.34436944153;45.672581,6.334658;9299.0;9299.0;84;Bibliothèque municipale;151.0;Bibliothèque ouverte au public;9.5;3131.0
Bibliotheque Municipale;chemin de l'église;;chemin de l'église;73100;;Mouxy;73;73182;45.680464, 5.93165;45.6795438416, 5.94799104168;45.680464,5.93165;9314.0;9314.0;84;Bibliothèque municipale;125.0;Bibliothèque ouverte au public;11.5;2298.0
Bibliothèque municipale;;;4 ROUTE DES BELLEDONNES;73800;;MYANS;73;73183;45.515297, 5.983592;45.5187852164, 5.97843784098;45.515297,5.983592;9315.0;9315.0;84;Bibliothèque municipale;60.0;Bibliothèque ouverte au public;4.0;1244.0
Bibliothèque Municipale De Notre Dame De Bellecombe;;Mairie  de Notre Dame de Bellecombe;285 rue de Sav;73590;;Notre-Dame-de-Bellecombe;73;73186;45.809525, 6.518876;45.7951588236, 6.55684529691;45.809525,6.518876;9316.0;9316.0;84;Bibliothèque municipale;80.0;Bibliothèque ouverte au public;9.0;510.0
Bibliotheque municipale;;Centre Culturel;rue des lacets;73300;;Pontamafrey-Montpascal;73;73203;45.314131, 6.339234;45.3275110948, 6.34849709837;45.314131,6.339234;9322.0;9322.0;84;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;4.0;328.0
Bibliotheque Municipale;Place de la Mairie;MAIRIE;;73720;;Queige;73;73211;45.719383, 6.457954;45.7071867017, 6.46543980324;45.719383,6.457954;9327.0;9327.0;84;Bibliothèque municipale;40.0;Bibliothèque ouverte au public;4.5;849.0
Bibliothèque Municipale;;;102 rue de la mairie;73310;;Ruffieux;73;73218;45.848207, 5.843449;45.8514912091, 5.84328531384;45.848207,5.843449;9328.0;9328.0;84;Bibliothèque municipale;49.0;Bibliothèque ouverte au public;5.0;873.0
Bibliotheque Municipale;;MAIRIE;;73190;;Saint-Baldoph;73;73225;45.534643, 5.951458;45.529906626, 5.94584830837;45.534643,5.951458;3300.0;3300.0;84;Bibliothèque municipale;75.0;Bibliothèque ouverte au public;9.0;2975.0
Bibliotheque Municipale En voyage les livres;mairie;;540 avenue de la gare;73520;;Saint-Béron;73;73226;45.503606, 5.73186;45.5067164494, 5.72513692798;45.503606,5.73186;9333.0;9333.0;84;Bibliothèque municipale;40.0;Bibliothèque ouverte au public;10.0;1679.0
Bibliothèque - Montaimont;MAIRIE;Montaimont;MONTAIMONT;73130;;Saint-François-Longchamp;73;73235;45.369572, 6.329142;45.4121018734, 6.37380621288;45.369572,6.329142;9306.0;9306.0;84;Bibliothèque municipale;30.0;Bibliothèque ouverte au public;4.0;463.0
Bibliothèque Communale;;;Route du Col;73170;;Saint-Jean-de-Chevelu;73;73245;45.69034, 5.818334;45.6954877529, 5.82649490929;45.69034,5.818334;9344.0;9344.0;84;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;5.0;815.0
Savoie-biblio Centre de Maurienne;;;95 Avenue des Clapeys;73300;;Saint-Jean-de-Maurienne;73;73248;45.273931, 6.346762;45.2713738871, 6.34553663978;45.273931,6.346762;3302.0;3278.0;84;Bibliothèque départementale;;Bibliothèque ouverte au public;;8244.0
Bibliothèque Municipale;;Ancien Presbytère;;73590;;Saint-Nicolas-la-Chapelle;73;73262;45.808194, 6.500896;45.8244727797, 6.47927364341;45.808194,6.500896;9351.0;9351.0;84;Bibliothèque municipale;53.0;Bibliothèque ouverte au public;5.0;477.0
Bibliotheque Municipale Simone Veil;;MAIRIE;58 place Franceline Pressevot;73310;;Serrières-en-Chautagne;73;73286;45.886371, 5.841665;45.8813588205, 5.84299329456;45.886371,5.841665;3298.0;3298.0;84;Bibliothèque municipale;101.0;Bibliothèque ouverte au public;10.0;1237.0
Bibliothèque - Bramans;;Le Verney - Bramans;Place St Clair;73500;;Val Cenis;73;73290;45.231871, 6.785397;45.3441528771, 6.84789108583;45.231871,6.785397;9248.0;9362.0;84;Bibliothèque municipale;253.0;Bibliothèque ouverte au public;26.0;2193.0
Bibliothèque Municipale;Mairie;chef lieu;;73230;;Thoiry;73;73293;45.591154, 6.02891;45.598757543, 6.04432776786;45.591154,6.02891;9363.0;9363.0;84;Bibliothèque municipale;29.0;Bibliothèque ouverte au public;4.5;476.0
Bibliothèque Du Flon;;CHEF LIEU;;73170;;Traize;73;73299;45.670518, 5.745353;45.6716573286, 5.73696272182;45.670518,5.745353;9365.0;9365.0;84;Bibliothèque municipale;50.0;Bibliothèque ouverte au public;4.0;310.0
Bibliothèque municipale de Verrens Arvey;;;755 Route de Tamié;73460;;VERRENS ARVEY;73;73312;45.656909, 6.314452;45.6626779644, 6.29022565576;45.656909,6.314452;9369.0;9369.0;84;Bibliothèque municipale;74.0;Bibliothèque ouverte au public;4.0;910.0
BIBLIOTHEQUE MUNICIPALE;;;168 CHEMIN DU PORT;73170;;YENNE;73;73330;45.704847, 5.757174;45.7020470491, 5.7646557504;45.704847,5.757174;3312.0;3312.0;84;Bibliothèque municipale;228.0;Bibliothèque ouverte au public;12.5;3016.0
Bibliotheque municipale;;;202 Route du Bois de la Cour;74200;;ARMOY;74;74020;46.348054, 6.517531;46.3523619359, 6.51159949942;46.348054,6.517531;3318.0;3318.0;84;Bibliothèque municipale;80.0;Bibliothèque ouverte au public;9.5;1365.0
Bibliotheque municipale;;;55 Chemin de l'Eglise;74140;;Ballaison;74;74025;46.299171, 6.327765;46.2932587435, 6.34400093687;46.299171,6.327765;9388.0;9388.0;84;Bibliothèque municipale;60.0;Bibliothèque ouverte au public;4.5;1509.0
Bibliotheque du Châble-Beaumont;;Le Châble;71 Grand'Rue;74160;;Beaumont;74;74031;46.094525, 6.101676;46.0976635697, 6.12074518078;46.094525,6.101676;9392.0;9392.0;84;Bibliothèque municipale;125.0;Bibliothèque ouverte au public;11.0;2748.0
Espace Livres Du Biot;;BUREAU DE POSTE - OFFICE TOURISME;;74430;;Le Biot;74;74034;46.262005, 6.631295;46.2728593658, 6.64024071432;46.262005,6.631295;9394.0;9394.0;84;Bibliothèque municipale;26.0;Bibliothèque ouverte au public;3.0;589.0
Bibliothèque;;Foyer rural;Place de l'Eglise;74150;;Bloye;74;74035;45.82615, 5.94514;45.8204275493, 5.94977872948;45.82615,5.94514;9395.0;9395.0;84;Bibliothèque municipale;30.0;Bibliothèque ouverte au public;4.0;626.0
