Code_commune_INSEE,Nom_commune,code_postal,Ville_bibliotheques,Département,Nom structure
01104,CHEZERY FORENS,01200,,,
01114,CONFORT,01200,,,
01257,MONTANGES,01200,,,
01189,INJOUX GENISSIAT,01200,,,
01033,VALSERHONE,01200,,,
01033,VALSERHONE,01200,,,
01189,INJOUX GENISSIAT,01200,,,
01033,VALSERHONE,01200,,,
01209,LEAZ,01200,,,
01033,VALSERHONE,01200,,,
01448,VILLES,01200,,,
74109,ELOISE,01200,,,
01036,VALROMEY SUR SERAN,01260,,,
01187,HAUT VALROMEY,01260,,,
01453,ARVIERE EN VALROMEY,01260,,,
01036,VALROMEY SUR SERAN,01260,,,
01036,VALROMEY SUR SERAN,01260,,,
01187,HAUT VALROMEY,01260,,,
01079,CHAMPAGNE EN VALROMEY,01260,,,
01187,HAUT VALROMEY,01260,,,
01187,HAUT VALROMEY,01260,,,
01036,VALROMEY SUR SERAN,01260,,,
01036,VALROMEY SUR SERAN,01260,,,
01036,VALROMEY SUR SERAN,01260,,,
01036,VALROMEY SUR SERAN,01260,,,
01079,CHAMPAGNE EN VALROMEY,01260,,,
01079,CHAMPAGNE EN VALROMEY,01260,,,
01453,ARVIERE EN VALROMEY,01260,,,
01330,RUFFIEU,01260,,,
01453,ARVIERE EN VALROMEY,01260,,,
01047,BLYES,01150,,,
01386,ST SORLIN EN BUGEY,01150,,,
01431,VAUX EN BUGEY,01150,,,
01099,CHAZEY SUR AIN,01150,,,
01202,LAGNIEU,01150,,,
01213,LEYMENT,01150,,,
01366,STE JULIE,01150,,,
01390,ST VULBAS,01150,,,
01396,SAULT BRENAZ,01150,,,
01411,SOUCLIN,01150,,,
01444,VILLEBOIS,01150,,,
01051,BOLOZON,01450,,,
01331,ST ALBAN,01450,,,
01404,SERRIERES SUR AIN,01450,,,
01068,CERDON,01450,,,
01077,CHALLES LA MONTAGNE,01450,,,
01214,LEYSSARD,01450,,,
01303,PONCIN,01450,,,
01242,MERIGNAT,01450,,,
01200,LABALME,01450,,,
01053,BOURG EN BRESSE,01000,,,
01053,BOURG EN BRESSE,01000,,,
01344,ST DENIS LES BOURG,01000,,,
01054,BOURG ST CHRISTOPHE,01800,,,
01156,FARAMANS,01800,,,
01260,LE MONTELLIER,01800,,,
01325,RIGNIEUX LE FRANC,01800,,,
01450,VILLIEU LOYES MOLLON,01800,,,
01088,CHARNOZ SUR AIN,01800,,,
01450,VILLIEU LOYES MOLLON,01800,,,
01361,ST JEAN DE NIOST,01800,,,
01054,BOURG ST CHRISTOPHE,01800,,,
01244,MEXIMIEUX,01800,,,
01290,PEROUGES,01800,,,
01349,ST ELOI,01800,,,
01450,VILLIEU LOYES MOLLON,01800,,,
01198,JOYEUX,01800,,,
01378,ST MAURICE DE GOURDANS,01800,,,
01064,BRIORD,01470,,,
01037,BENONCES,01470,,,
01255,MONTAGNIEU,01470,,,
01403,SERRIERES DE BRIORD,01470,,,
01400,SEILLONNAZ,01470,,,
01080,CHAMPDOR CORCELLES,01110,,,
01185,PLATEAU D HAUTEVILLE,01110,,,
01080,CHAMPDOR CORCELLES,01110,,,
01121,CORLIER,01110,,,
01311,PREMILLIEU,01110,,,
01185,PLATEAU D HAUTEVILLE,01110,,,
01012,ARANC,01110,,,
01060,BRENOD,01110,,,
01185,PLATEAU D HAUTEVILLE,01110,,,
01185,PLATEAU D HAUTEVILLE,01110,,,
01084,CHANOZ CHATENAY,01400,,,
01093,CHATILLON SUR CHALARONNE,01400,,,
01146,DOMPIERRE SUR CHALARONNE,01400,,,
01113,CONDEISSIAT,01400,,,
01272,NEUVILLE LES DAMES,01400,,,
01328,ROMANS,01400,,,
01356,ST GEORGES SUR RENON,01400,,,
01001,L ABERGEMENT CLEMENCIAT,01400,,,
01393,SANDRANS,01400,,,
01412,SULIGNAT,01400,,,
01090,CHATENAY,01320,,,
01074,CHALAMONT,01320,,,
01381,ST NIZIER LE DESERT,01320,,,
01129,CRANS,01320,,,
01449,VILLETTE SUR AIN,01320,,,
01092,CHATILLON LA PALUD,01320,,,
01108,COLIGNY,01270,,,
01147,DOMSURE,01270,,,
01296,PIRAJOUX,01270,,,
01432,VERJON,01270,,,
01445,VILLEMOTIER,01270,,,
01029,BEAUPONT,01270,,,
01391,SALAVRE,01270,,,
01109,COLLONGES,01550,,,
01308,POUGNY,01550,,,
01158,FARGES,01550,,,
01138,CULOZ,01350,,,
01039,BEON,01350,,,
01073,CEYZERIEU,01350,,,
01133,CRESSIN ROCHEFORT,01350,,,
01456,VONGNES,01350,,,
01208,LAVOURS,01350,,,
01162,FLAXIEU,01350,,,
01010,ANGLEFORT,01350,,,
01302,POLLIEU,01350,,,
01143,DIVONNE LES BAINS,01220,,,
01397,SAUVERNY,01220,,,
01180,GRILLY,01220,,,
01157,FAREINS,01480,,,
01166,FRANS,01480,,,
01398,SAVIGNEUX,01480,,,
01021,ARS SUR FORMANS,01480,,,
01194,JASSANS RIOTTIER,01480,,,
01243,MESSIMY SUR SAONE,01480,,,
01446,VILLENEUVE,01480,,,
01030,BEAUREGARD,01480,,,
01075,CHALEINS,01480,,,
01173,GEX,01170,,,
01399,SEGNY,01170,,,
01071,CESSY,01170,,,
01247,MIJOUX,01170,,,
01153,ECHENEVEX,01170,,,
01103,CHEVRY,01170,,,
01135,CROZET,01170,,,
01436,VESANCY,01170,,,
01197,JOURNANS,01250,,,
01245,BOHAS MEYRIAT RIGNAT,01250,,,
01095,NIVIGNE ET SURAN,01250,,,
01106,CIZE,01250,,,
01245,BOHAS MEYRIAT RIGNAT,01250,,,
01254,MONTAGNAT,01250,,,
01321,REVONNAS,01250,,,
01408,SIMANDRE SUR SURAN,01250,,,
01072,CEYZERIAT,01250,,,
01095,NIVIGNE ET SURAN,01250,,,
01447,VILLEREVERSURE,01250,,,
01125,CORVEISSIAT,01250,,,
01184,HAUTECOURT ROMANECHE,01250,,,
01184,HAUTECOURT ROMANECHE,01250,,,
01195,JASSERON,01250,,,
01245,BOHAS MEYRIAT RIGNAT,01250,,,
01317,RAMASSE,01250,,,
01150,DROM,01250,,,
01177,GRAND CORENT,01250,,,
01309,POUILLAT,01250,,,
01369,ST JUST,01250,,,
01422,TOSSIAT,01250,,,
01211,LENT,01240,,,
01359,ST GERMAIN SUR RENON,01240,,,
01069,CERTINES,01240,,,
01235,MARLIEUX,01240,,,
01335,ST ANDRE LE BOUCHOUX,01240,,,
01085,LA CHAPELLE DU CHATELARD,01240,,,
01145,DOMPIERRE SUR VEYLE,01240,,,
01383,ST PAUL DE VARAX,01240,,,
01212,LESCHEROUX,01560,,,
01367,ST JULIEN SUR REYSSOUZE,01560,,,
01380,ST NIZIER LE BOUCHOUX,01560,,,
01124,CORMOZ,01560,,,
01128,COURTES,01560,,,
01433,VERNOUX,01560,,,
01437,VESCOURS,01560,,,
01388,ST TRIVIER DE COURTES,01560,,,
01230,MANTENAY MONTLIN,01560,,,
01139,CURCIAT DONGALON,01560,,,
01364,ST JEAN SUR REYSSOUZE,01560,,,
01406,SERVIGNAT,01560,,,
01216,LHUIS,01680,,,
01219,LOMPNAS,01680,,,
01338,GROSLEE ST BENOIT,01680,,,
01233,MARCHAMP,01680,,,
01190,INNIMOND,01680,,,
01224,LOYETTES,01360,,,
01027,BALAN,01360,,,
01062,BRESSOLLES,01360,,,
01062,BRESSOLLES,01360,,,
01032,BELIGNEUX,01360,,,
01032,BELIGNEUX,01360,,,
01032,BELIGNEUX,01360,,,
01032,BELIGNEUX,01360,,,
01231,MANZIAT,01570,,,
01439,VESINES,01570,,,
01159,FEILLENS,01570,,,
01023,ASNIERES SUR SAONE,01570,,,
01240,MATAFELON GRANGES,01580,,,
01192,IZERNORE,01580,,,
01240,MATAFELON GRANGES,01580,,,
01410,SONTHONNAX LA MONTAGNE,01580,,,
01392,SAMOGNAT,01580,,,
01410,SONTHONNAX LA MONTAGNE,01580,,,
01250,MISERIEUX,01600,,,
01339,ST BERNARD,01600,,,
01427,TREVOUX,01600,,,
01238,MASSIEUX,01600,,,
01285,PARCIEUX,01600,,,
01423,TOUSSIEUX,01600,,,
01353,STE EUPHEMIE,01600,,,
01322,REYRIEUX,01600,,,
01347,ST DIDIER DE FORMANS,01600,,,
01266,MONTREVEL EN BRESSE,01340,,,
01163,FOISSIAT,01340,,,
01130,BRESSE VALLONS,01340,,,
01229,MALAFRETAZ,01340,,,
01236,MARSONNAS,01340,,,
01024,ATTIGNAT,01340,,,
01040,BEREZIAT,01340,,,
01130,BRESSE VALLONS,01340,,,
01196,JAYAT,01340,,,
01346,ST DIDIER D AUSSIAT,01340,,,
01387,ST SULPICE,01340,,,
01267,NURIEUX VOLOGNAT,01460,,,
01269,NANTUA,01460,,,
01063,BRION,01460,,,
01170,BEARD GEOVREISSIAT,01460,,,
01307,PORT,01460,,,
01265,MONTREAL LA CLUSE,01460,,,
01267,NURIEUX VOLOGNAT,01460,,,
01275,NEYRON,01700,,,
01043,BEYNOST,01700,,,
01249,MIRIBEL,01700,,,
01249,MIRIBEL,01700,,,
01249,MIRIBEL,01700,,,
01376,ST MAURICE DE BEYNOST,01700,,,
01298,PLAGNE,01130,,,
01357,ST GERMAIN DE JOUX,01130,,,
01035,BELLEYDOUX,01130,,,
01087,CHARIX,01130,,,
01152,ECHALLON,01130,,,
01204,LE POIZAT LALLEYRIAT,01130,,,
01204,LE POIZAT LALLEYRIAT,01130,,,
01174,GIRON,01130,,,
01269,NANTUA,01130,,,
01274,LES NEYROLLES,01130,,,
01318,RANCE,01390,,,
01362,ST JEAN DE THURIGNEUX,01390,,,
01333,ST ANDRE DE CORCY,01390,,,
01261,MONTHIEUX,01390,,,
01105,CIVRIEUX,01390,,,
01248,MIONNAY,01390,,,
01371,ST MARCEL,01390,,,
01424,TRAMOYES,01390,,,
01348,ST DIDIER SUR CHALARONNE,01140,,,
01167,GARNERANS,01140,,,
01420,THOISSEY,01140,,,
01428,VALEINS,01140,,,
01252,MOGNENEINS,01140,,,
01351,ST ETIENNE SUR CHALARONNE,01140,,,
01188,ILLIAT,01140,,,
01295,PEYZIEUX SUR SAONE,01140,,,
01350,ST ETIENNE DU BOIS,01370,,,
01426,VAL REVERMONT,01370,,,
01426,VAL REVERMONT,01370,,,
01241,MEILLONNAS,01370,,,
01426,VAL REVERMONT,01370,,,
01127,COURMANGOUX,01370,,,
01038,BENY,01370,,,
01407,SEYSSEL,01420,,,
01118,CORBONOD,01420,,,
01082,CHANAY,01420,,,
01215,SURJOUX LHOPITAL,01420,,,
01215,SURJOUX LHOPITAL,01420,,,
01451,VIRIAT,01440,,,
02001,ABBECOURT,02300,,,
02034,AUDIGNICOURT,02300,,,
02078,BESME,02300,,,
02081,BETHANCOURT EN VAUX,02300,,,
02093,BLERANCOURT,02300,,,
02363,GUNY,02300,,,
02542,NEUFLIEUX,02300,,,
02754,UGNY LE GAY,02300,,,
02807,VILLEQUIER AUMONT,02300,,,
02041,AUTREVILLE,02300,,,
02086,BICHANCOURT,02300,,,
02461,MAREST DAMPCOURT,02300,,,
02599,PIERREMANDE,02300,,,
02631,QUIERZY,02300,,,
02820,VIRY NOUREUIL,02300,,,
02145,CAUMONT,02300,,,
02207,COMMENCHON,02300,,,
02456,MANICAMP,02300,,,
02704,SELENS,02300,,,
02750,TROSLY LOIRE,02300,,,
02139,CAILLOUEL CREPIGNY,02300,,,
02140,CAMELIN,02300,,,
02546,LA NEUVILLE EN BEINE,02300,,,
02566,OGNES,02300,,,
02671,ST AUBIN,02300,,,
02056,BEAUMONT EN BEINE,02300,,,
02107,BOURGUIGNON SOUS COUCY,02300,,,
02140,CAMELIN,02300,,,
02173,CHAUNY,02300,,,
02362,GUIVRY,02300,,,
02686,ST PAUL AUX BOIS,02300,,,
02719,SINCENY,02300,,,
02008,AIZY JOUY,02370,,,
02620,PRESLES ET BOVES,02370,,,
02758,VAILLY SUR AISNE,02370,,,
02210,CONDE SUR AISNE,02370,,,
02167,CHASSEMY,02370,,,
02008,AIZY JOUY,02370,,,
02176,CHAVONNE,02370,,,
02148,CELLES SUR AISNE,02370,,,
02577,OSTEL,02370,,,
02009,ALAINCOURT,02240,,,
02149,CERIZY,02240,,,
02483,MEZIERES SUR OISE,02240,,,
02605,PLEINE SELVE,02240,,,
02124,BRISSY HAMEGICOURT,02240,,,
02648,RIBEMONT,02240,,,
02717,SERY LES MEZIERES,02240,,,
02721,SISSY,02240,,,
02732,SURFONTAINE,02240,,,
02813,VILLERS LE SEC,02240,,,
02075,BERTHENICOURT,02240,,,
02387,ITANCOURT,02240,,,
02640,RENANSART,02240,,,
02123,BRISSAY CHOIGNY,02240,,,
02170,CHATILLON SUR OISE,02240,,,
02592,PARPEVILLE,02240,,,
02636,REGNY,02240,,,
02018,ANIZY LE GRAND,02320,,,
02018,ANIZY LE GRAND,02320,,,
02619,PREMONTRE,02320,,,
02766,VAUDESSON,02320,,,
02768,VAUXAILLON,02320,,,
02153,CESSIERES SUZY,02320,,,
02834,WISSIGNICOURT,02320,,,
02111,BRANCOURT EN LAONNOIS,02320,,,
02010,ALLEMANT,02320,,,
02018,ANIZY LE GRAND,02320,,,
02153,CESSIERES SUZY,02320,,,
02602,PINON,02320,,,
02033,AUBIGNY EN LAONNOIS,02820,,,
02349,GOUDELANCOURT LES BERRIEUX,02820,,,
02675,STE CROIX,02820,,,
02676,ST ERME OUTRE ET RAMECOURT,02820,,,
02007,AIZELLES,02820,,,
02229,COURTRIZY ET FUSSIGNY,02820,,,
02215,CORBENY,02820,,,
02472,MAUREGNY EN HAYE,02820,,,
02498,MONTAIGU,02820,,,
02696,ST THOMAS,02820,,,
02072,BERRIEUX,02820,,,
02038,LES AUTELS,02360,,,
02181,CHERY LES ROZOY,02360,,,
02354,GRANDRIEUX,02360,,,
02674,ST CLEMENT,02360,,,
02265,DOHIS,02360,,,
02522,MONT ST JEAN,02360,,,
02634,RAILLIMONT,02360,,,
02666,ROZOY SUR SERRE,02360,,,
02021,ARCHON,02360,,,
02204,COINGT,02360,,,
02251,CUIRY LES IVIERS,02360,,,
02266,DOLIGNON,02360,,,
02388,IVIERS,02360,,,
02526,MORGNY EN THIERACHE,02360,,,
02586,PARFONDEVAL,02360,,,
02642,RESIGNY,02360,,,
02660,ROUVROY SUR SERRE,02360,,,
02126,BRUNEHAMEL,02360,,,
02043,BAGNEUX,02290,,,
02326,FONTENOY,02290,,,
02576,OSLY COURTIL,02290,,,
02643,RESSONS LE LONG,02290,,,
02672,ST BANDRY,02290,,,
02071,BERNY RIVIERE,02290,,,
02795,VIC SUR AISNE,02290,,,
02562,NOUVRON VINGRE,02290,,,
02736,TARTIERS,02290,,,
02793,VEZAPONIN,02290,,,
02011,AMBLENY,02290,,,
02087,BIEUXY,02290,,,
02277,EPAGNY,02290,,,
02514,MONTIGNY LENGRAIN,02290,,,
02527,MORSAIN,02290,,,
02673,ST CHRISTOPHE A BERRY,02290,,,
02762,VASSENS,02290,,,
02049,BARISIS AUX BOIS,02700,,,
02716,SERVAIS,02700,,,
02212,CONDREN,02700,,,
02262,DEUILLET,02700,,,
02738,TERGNIER,02700,,,
02738,TERGNIER,02700,,,
02014,AMIGNY ROUY,02700,,,
02738,TERGNIER,02700,,,
02431,LIEZ,02700,,,
02738,TERGNIER,02700,,,
02336,FRIERES FAILLOUEL,02700,,,
02474,MENNESSIS,02700,,,
02053,VALLEES EN CHAMPAGNE,02330,,,
02213,CONNIGIS,02330,,,
02223,COURBOIN,02330,,,
02510,MONTHUREL,02330,,,
02590,PARGNY LA DHUYS,02330,,,
02053,VALLEES EN CHAMPAGNE,02330,,,
02515,MONTIGNY LES CONDE,02330,,,
02677,ST EUGENE,02330,,,
02053,VALLEES EN CHAMPAGNE,02330,,,
02458,DHUYS ET MORIN EN BRIE,02330,,,
02146,CELLES LES CONDE,02330,,,
02209,CONDE EN BRIE,02330,,,
02518,MONTLEVON,02330,,,
02057,BEAUREVOIR,02110,,,
02319,FONSOMME,02110,,,
02618,PREMONT,02110,,,
02635,RAMICOURT,02110,,,
02760,LA VALLEE MULATRE,02110,,,
02061,BECQUIGNY,02110,,,
02095,BOHAIN EN VERMANDOIS,02110,,,
02240,CROIX FONSOMME,02110,,,
02293,ETAVES ET BOCQUIAUX,02110,,,
02323,FONTAINE UTERTE,02110,,,
02488,MOLAIN,02110,,,
02500,MONTBREHAIN,02110,,,
02511,MONTIGNY EN ARROUAISE,02110,,,
02703,SEBONCOURT,02110,,,
02006,AISONVILLE ET BERNOVILLE,02110,,,
02322,FONTAINE NOTRE DAME,02110,,,
02358,GROUGIS,02110,,,
02769,VAUX ANDIGNY,02110,,,
02112,BRANCOURT LE GRAND,02110,,,
02310,FIEULAINE,02110,,,
02647,RIBEAUVILLE,02110,,,
02683,ST MARTIN RIVIERE,02110,,,
02709,SERAIN,02110,,,
02062,BELLEAU,02400,,,
02105,BOURESCHES,02400,,,
02168,CHATEAU THIERRY,02400,,,
02279,EPAUX BEZU,02400,,,
02280,EPIEDS,02400,,,
02347,GLAND,02400,,,
02540,NESLES LA MONTAGNE,02400,,,
02042,AZY SUR MARNE,02400,,,
02085,BEZU ST GERMAIN,02400,,,
02098,BONNEIL,02400,,,
02166,CHARTEVES,02400,,,
02509,MONTHIERS,02400,,,
02554,NOGENTEL,02400,,,
02781,VERDILLY,02400,,,
02094,BLESMES,02400,,,
02187,CHIERRY,02400,,,
02290,ESSOMES SUR MARNE,02400,,,
02443,LUCY LE BOCAGE,02400,,,
02524,MONT ST PERE,02400,,,
02099,BONNESVALYN,02400,,,
02114,BRASLES,02400,,,
02292,ETAMPES SUR MARNE,02400,,,
02297,ETREPILLY,02400,,,
02063,BELLENGLISE,02420,,,
02291,ESTREES,02420,,,
02451,MAGNY LA FOSSE,02420,,,
02030,AUBENCHEUL AUX BOIS,02420,,,
02370,HARGICOURT,02420,,,
02392,JONCOURT,02420,,,
02808,VILLERET,02420,,,
02417,LEMPIRE,02420,,,
02352,GOUY,02420,,,
02426,LEVERGIES,02420,,,
02539,NAUROY,02420,,,
02708,SEQUEHART,02420,,,
02776,VENDHUILE,02420,,,
02065,BELLICOURT,02420,,,
02100,BONY,02420,,,
02143,LE CATELET,02420,,,
02374,LEHAUCOURT,02420,,,
02070,BERNOT,02120,,,
02244,CRUPILLY,02120,,,
02361,GUISE,02120,,,
02450,MACQUIGNY,02120,,,
02757,VADENCOURT,02120,,,
02376,HAUTEVILLE,02120,,,
02455,MALZY,02120,,,
02494,MONCEAU SUR OISE,02120,,,
02563,NOYALES,02120,,,
02625,PROIX,02120,,,
02668,SAINS RICHAUMONT,02120,,,
02753,TUPIGNY,02120,,,
02757,VADENCOURT,02120,,,
02814,VILLERS LES GUISE,02120,,,
02188,CHIGNY,02120,,,
02624,PROISY,02120,,,
02783,GRAND VERLY,02120,,,
02206,COLONFAY,02120,,,
02313,FLAVIGNY LE GRAND ET BEAURAIN,02120,,,
02403,LANDIFAY ET BERTAIGNEMONT,02120,,,
02832,WIEGE FATY,02120,,,
02035,AUDIGNY,02120,,,
02379,LE HERIE LA VIEVILLE,02120,,,
02422,LESQUIELLES ST GERMAIN,02120,,,
02469,MARLY GOMONT,02120,,,
02629,PUISIEUX ET CLANLIEU,02120,,,
02654,ROMERY,02120,,,
02073,BERRY AU BAC,02190,,,
02211,CONDE SUR SUIPPE,02190,,,
02626,PROUVAIS,02190,,,
02005,AGUILCOURT,02190,,,
02440,LOR,02190,,,
02761,VARISCOURT,02190,,,
02299,EVERGNICOURT,02190,,,
02360,VILLENEUVE SUR AISNE,02190,,,
02399,JUVINCOURT ET DAMARY,02190,,,
02454,LA MALMAISON,02190,,,
02541,NEUFCHATEL SUR AISNE,02190,,,
02076,BERTRICOURT,02190,,,
02572,ORAINVILLE,02190,,,
02601,PIGNICOURT,02190,,,
02013,AMIFONTAINE,02190,,,
02360,VILLENEUVE SUR AISNE,02190,,,
02627,PROVISEUX ET PLESNOY,02190,,,
02080,BESNY ET LOIZY,02870,,,
02122,BRIE,02870,,,
02132,BUCY LES CERNY,02870,,,
02821,VIVAISE,02870,,,
02151,CERNY LES BUCY,02870,,,
02238,CREPY,02870,,,
02329,FOURDRAIN,02870,,,
02088,BIEVRES,02860,,,
02158,CHAMOUILLE,02860,,,
02501,MONTCHALONS,02860,,,
02150,CERNY EN LAONNOIS,02860,,,
02177,CHERET,02860,,,
02573,ORGEVAL,02860,,,
02609,PLOYART ET VAURSEINE,02860,,,
02621,PRESLES ET THIERNY,02860,,,
02751,TRUCY,02860,,,
02102,BOUCONVILLE VAUCLAIR,02860,,,
02205,COLLIGIS CRANDELAIN,02860,,,
02413,LAVAL EN LAONNOIS,02860,,,
02508,MONTHENAULT,02860,,,
02024,ARRANCY,02860,,,
02178,CHERMIZY AILLES,02860,,,
02429,LIERVAL,02860,,,
02583,PANCY COURTECON,02860,,,
02824,VORGES,02860,,,
02128,BRUYERES ET MONTBERAULT,02860,,,
02471,MARTIGNY COURPIERRE,02860,,,
02550,NEUVILLE SUR AILETTE,02860,,,
02561,NOUVION LE VINEUX,02860,,,
02103,BOUE,02450,,,
02308,FESMY LE SART,02450,,,
02569,OISY,02450,,,
02067,BERGUES SUR SAMBRE,02450,,,
02269,DORENGT,02450,,,
02308,FESMY LE SART,02450,,,
02414,LAVAQUERESSE,02450,,,
02548,LA NEUVILLE LES DORENGT,02450,,,
02116,BRAYE EN THIERACHE,02140,,,
02321,FONTAINE LES VERVINS,02140,,,
02535,NAMPCELLES LA COUR,02140,,,
02608,PLOMION,02140,,,
02623,PRISCES,02140,,,
02681,ST GOBERT,02140,,,
02759,LA VALLEE AU BLE,02140,,,
02826,VOULPAIX,02140,,,
02369,HARCIGNY,02140,,,
02373,HARY,02140,,,
02463,MARFONTAINE,02140,,,
02688,ST PIERRE LES FRANQUEVILLE,02140,,,
02731,LE SOURD,02140,,,
02109,LA BOUTEILLE,02140,,,
02136,BURELLES,02140,,,
02256,DAGNY LAMBERCY,02140,,,
02657,ROUGERIES,02140,,,
02331,FRANQUEVILLE,02140,,,
02341,GERCY,02140,,,
02357,GRONARD,02140,,,
02384,HOURY,02140,,,
02401,LAIGNY,02140,,,
02405,LANDOUZY LA VILLE,02140,,,
02740,THENAILLES,02140,,,
02789,VERVINS,02140,,,
02044,BANCIGNY,02140,,,
02377,HAUTION,02140,,,
02391,JEANTES,02140,,,
02404,LANDOUZY LA COUR,02140,,,
02416,LEME,02140,,,
02444,LUGNY,02140,,,
02652,ROGNY,02140,,,
02823,VOHARIES,02140,,,
02118,BRAYE,02880,,,
02175,CHAVIGNY,02880,,,
02398,JUVIGNY,02880,,,
02400,LAFFAUX,02880,,,
02537,NANTEUIL LA FOSSE,02880,,,
02190,CHIVRES VAL,02880,,,
02551,NEUVILLE SUR MARGIVAL,02880,,,
02828,VREGNY,02880,,,
02829,VUILLERY,02880,,,
02698,SANCY LES CHEMINOTS,02880,,,
02243,CROUY,02880,,,
02245,CUFFIES,02880,,,
02424,LEURY,02880,,,
02464,MARGIVAL,02880,,,
02131,BUCY LE LONG,02880,,,
02198,CLAMECY,02880,,,
02487,MISSY SUR AISNE,02880,,,
02739,TERNY SORNY,02880,,,
02142,CASTRES,02680,,,
02257,DALLON,02680,,,
02320,FONTAINE LES CLERCS,02680,,,
02359,GRUGIES,02680,,,
02214,CONTESCOURT,02680,,,
02152,CERSEUIL,02220,,,
02195,CIRY SALSOGNE,02220,,,
02224,COURCELLES SUR VESLE,02220,,,
02230,COUVRELLES,02220,,,
02263,DHUIZEL,02220,,,
02695,ST THIBAUT,02220,,,
02120,BRENELLE,02220,,,
02249,CUIRY HOUSSE,02220,,,
02421,LESGES,02220,,,
02432,LIME,02220,,,
02714,SERMOISE,02220,,,
02110,BRAINE,02220,,,
02255,CYS LA COMMUNE,02220,,,
02735,TANNIERES,02220,,,
02763,VASSENY,02220,,,
02773,VAUXTIN,02220,,,
02054,BAZOCHES SUR VESLES,02220,,,
02427,LHUYS,02220,,,
02520,MONT NOTRE DAME,02220,,,
02523,MONT ST MARTIN,02220,,,
02581,PAARS,02220,,,
02633,QUINCY SOUS LE MONT,02220,,,
02817,VILLE SAVOYE,02220,,,
02036,AUGY,02220,,,
02129,BRUYS,02220,,,
02179,CHERY CHARTREUVE,02220,,,
02393,JOUAIGNES,02220,,,
02447,MAAST ET VIOLAINE,02220,,,
02682,ST MARD,02220,,,
02711,SERCHES,02220,,,
02154,CHACRISE,02200,,,
02564,NOYANT ET ACONIN,02200,,,
02780,VENIZEL,02200,,,
02003,ACY,02200,,,
02064,BELLEU,02200,,,
02077,BERZY LE SEC,02200,,,
02138,BUZANCY,02200,,,
02253,CUISY EN ALMONT,02200,,,
02598,PERNANT,02200,,,
02610,POMMIERS,02200,,,
02722,SOISSONS,02200,,,
02593,PASLY,02200,,,
02607,PLOISY,02200,,,
02663,ROZIERES SUR CRISE,02200,,,
02805,VILLENEUVE ST GERMAIN,02200,,,
02172,CHAUDUN,02200,,,
02706,SEPTMONTS,02200,,,
02767,VAUXREZIS,02200,,,
02770,VAUXBUIN,02200,,,
02012,AMBRIEF,02200,,,
02089,BILLY SUR AISNE,02200,,,
02226,COURMELLES,02200,,,
02477,MERCIN ET VAUX,02200,,,
02485,MISSY AUX BOIS,02200,,,
02536,NAMPTEUIL SOUS MURET,02200,,,
02667,SACONIN ET BREUIL,02200,,,
02157,CHAMBRY,02000,,,
02311,FILAIN,02000,,,
02497,MONS EN LAONNOIS,02000,,,
02499,MONTBAVIN,02000,,,
02047,BARENTON CEL,02000,,,
02183,CHEVREGNY,02000,,,
